H Table: (M=3.0,Z=0.0001)
#H Lifetime: 2.723E+08
#H Mfinal: 8.521E-01
Isotopes Yields    X0        Z A  
H-1      1.523E+00 7.514E-01 1 1  
H-2      3.845E-08 1.458E-05 1 2  
He-3     2.668E-04 4.125E-05 2 3  
He-4     6.132E-01 2.485E-01 2 4  
Li-7     1.083E-09 7.774E-10 3 7  
B-11     6.140E-12 2.858E-12 5 11 
C-12     8.857E-03 1.250E-05 6 12 
C-13     2.639E-05 4.160E-08 6 13 
N-14     3.408E-05 1.060E-06 7 14 
N-15     1.876E-09 4.174E-09 7 15 
O-16     2.779E-03 7.409E-05 8 16 
O-17     1.257E-06 3.816E-09 8 17 
O-18     2.860E-08 2.173E-08 8 18 
F-19     3.756E-08 5.616E-10 9 19 
Ne-20    7.038E-05 5.753E-06 1020 
Ne-21    1.327E-06 4.579E-09 1021 
Ne-22    4.210E-05 1.472E-07 1022 
Na-23    1.020E-06 4.003E-08 1123 
Mg-24    4.456E-06 1.512E-06 1224 
Mg-25    7.988E-06 7.740E-08 1225 
Mg-26    2.716E-05 8.856E-08 1226 
Al-27    6.366E-07 6.487E-08 1327 
Si-28    3.694E-06 1.513E-06 1428 
Si-29    1.377E-07 3.923E-08 1429 
Si-30    1.382E-07 2.675E-08 1430 
P-31     4.376E-08 7.113E-09 1531 
Pb-206   2.296E-11 2.800E-12 82206
Pb-207   2.236E-11 3.092E-12 82207
S-32     2.340E-06 1.093E-06 1632 
S-33     7.394E-09 3.268E-09 1633 
S-34     4.295E-08 1.892E-08 1634 
S-36     5.069E-10 8.080E-11 1636 
Cl-35    1.461E-08 6.827E-09 1735 
Cl-37    5.909E-09 2.308E-09 1737 
Ar-36    3.492E-07 1.638E-07 1836 
Ar-38    3.471E-08 1.576E-08 1838 
Ar-40    3.740E-10 2.653E-11 1840 
K-39     8.597E-09 3.903E-09 1939 
K-40     9.655E-12 5.010E-13 1940 
K-41     7.031E-10 2.961E-10 1941 
Ca-40    2.573E-07 1.206E-07 2040 
Ca-42    1.189E-09 5.068E-10 2042 
Ca-43    2.627E-10 1.083E-10 2043 
Ca-44    3.803E-09 1.712E-09 2044 
Ca-46    8.141E-11 3.432E-12 2046 
Ca-48    3.602E-10 1.674E-10 2048 
Sc-45    1.577E-10 5.419E-11 2145 
Ti-46    7.165E-10 3.235E-10 2246 
Ti-47    6.535E-10 2.980E-10 2247 
Ti-48    1.148E-08 5.377E-09 2248 
Ti-49    5.283E-10 2.259E-10 2249 
Ti-50    6.691E-10 2.210E-10 2250 
V-50     2.164E-12 1.016E-12 2350 
V-51     8.973E-10 4.141E-10 2351 
Cr-50    1.761E-09 8.273E-10 2450 
Cr-52    3.544E-08 1.659E-08 2452 
Cr-53    4.098E-09 1.917E-09 2453 
Cr-54    1.182E-09 4.862E-10 2454 
Mn-55    2.345E-08 1.099E-08 2555 
Fe-54    1.730E-07 8.126E-08 2654 
Fe-56    2.820E-06 1.323E-06 2656 
Fe-57    6.729E-08 3.109E-08 2657 
Fe-58    1.320E-08 4.211E-09 2658 
Co-59    1.013E-08 3.995E-09 2759 
Ni-58    1.217E-07 5.716E-08 2858 
Ni-60    5.180E-08 2.278E-08 2860 
Ni-61    2.805E-09 1.007E-09 2861 
Ni-62    8.692E-09 3.262E-09 2862 
Ni-64    5.371E-09 8.576E-10 2864 
Cu-63    2.782E-09 6.606E-10 2963 
Cu-65    1.566E-09 3.037E-10 2965 
Zn-64    2.425E-09 1.132E-09 3064 
Zn-66    2.170E-09 6.696E-10 3066 
Zn-67    3.827E-10 9.989E-11 3067 
Zn-68    2.279E-09 4.636E-10 3068 
Zn-70    4.332E-11 1.578E-11 3070 
Ga-69    2.837E-10 4.555E-11 3169 
Ga-71    1.945E-10 3.110E-11 3171 
Ge-70    4.006E-10 5.162E-11 3270 
Ge-72    4.739E-10 6.917E-11 3272 
Ge-73    1.396E-10 1.956E-11 3273 
Ge-74    8.227E-10 9.237E-11 3274 
Ge-76    5.911E-11 1.965E-11 3276 
As-75    9.494E-11 1.431E-11 3375 
Se-74    2.552E-12 1.199E-12 3474 
Se-76    1.728E-10 1.297E-11 3476 
Se-77    8.090E-11 1.071E-11 3477 
Se-78    4.601E-10 3.379E-11 3478 
Se-80    6.580E-10 7.233E-11 3480 
Se-82    3.689E-11 1.305E-11 3482 
Br-79    1.135E-10 1.391E-11 3579 
Br-81    1.235E-10 1.387E-11 3581 
Kr-78    8.309E-13 3.904E-13 3678 
Kr-80    1.155E-11 2.577E-12 3680 
Kr-82    2.548E-10 1.321E-11 3682 
Kr-83    1.113E-10 1.325E-11 3683 
Kr-84    7.223E-10 6.608E-11 3684 
Kr-86    1.348E-09 2.046E-11 3686 
Rb-85    2.452E-10 1.284E-11 3785 
Rb-87    5.978E-10 5.067E-12 3787 
Sr-84    6.877E-13 3.231E-13 3884 
Sr-86    1.114E-10 5.850E-12 3886 
Sr-87    5.230E-11 4.447E-12 3887 
Sr-88    1.492E-09 5.015E-11 3888 
Y-89     4.393E-10 1.230E-11 3989 
Zr-90    3.209E-10 1.536E-11 4090 
Zr-91    1.021E-10 3.387E-12 4091 
Zr-92    2.194E-10 5.231E-12 4092 
Zr-94    1.806E-10 5.418E-12 4094 
Zr-96    3.631E-10 8.911E-13 4096 
Nb-93    6.630E-11 1.902E-12 4193 
Mo-92    2.157E-12 1.013E-12 4292 
Mo-94    1.374E-12 6.453E-13 4294 
Mo-95    3.575E-11 1.123E-12 4295 
Mo-96    4.276E-11 1.189E-12 4296 
Mo-97    2.235E-11 6.881E-13 4297 
Mo-98    6.528E-11 1.756E-12 4298 
Mo-100   9.238E-12 7.152E-13 42100
Ru-96    6.233E-13 2.928E-13 4496 
Ru-98    2.146E-13 1.008E-13 4498 
Ru-99    1.013E-11 6.952E-13 4499 
Ru-100   2.676E-11 6.934E-13 44100
Ru-101   8.123E-12 9.484E-13 44101
Ru-102   3.962E-11 1.771E-12 44102
Ru-104   7.027E-12 1.066E-12 44104
Rh-103   8.742E-12 1.056E-12 45103
Pd-102   9.035E-14 4.245E-14 46102
Pd-104   1.756E-11 4.727E-13 46104
Pd-105   6.862E-12 9.566E-13 46105
Pd-106   2.345E-11 1.182E-12 46106
Pd-108   2.703E-11 1.166E-12 46108
Pd-110   5.207E-12 5.260E-13 46110
Ag-107   5.693E-12 7.847E-13 47107
Ag-109   8.753E-12 7.427E-13 47109
Cd-106   1.352E-13 6.352E-14 48106
Cd-108   9.873E-14 4.608E-14 48108
Cd-110   1.945E-11 6.586E-13 48110
Cd-111   8.040E-12 6.811E-13 48111
Cd-112   2.710E-11 1.296E-12 48112
Cd-113   8.356E-12 6.619E-13 48113
Cd-114   3.634E-11 1.570E-12 48114
Cd-116   1.327E-11 4.165E-13 48116
In-113   5.550E-14 2.606E-14 49113
In-115   8.113E-12 5.920E-13 49115
Sn-112   2.601E-13 1.222E-13 50112
Sn-114   1.798E-13 8.442E-14 50114
Sn-115   9.330E-14 4.381E-14 50115
Sn-116   3.745E-11 1.895E-12 50116
Sn-117   1.500E-11 1.009E-12 50117
Sn-118   6.614E-11 3.212E-12 50118
Sn-119   1.990E-11 1.148E-12 50119
Sn-120   9.642E-11 4.395E-12 50120
Sn-122   5.388E-11 6.346E-13 50122
Sn-124   1.158E-11 8.067E-13 50124
Sb-121   8.838E-12 6.323E-13 51121
Sb-123   6.315E-12 4.807E-13 51123
Te-120   3.469E-14 1.630E-14 52120
Te-122   1.069E-11 4.493E-13 52122
Te-123   3.549E-12 1.580E-13 52123
Te-124   2.697E-11 8.449E-13 52124
Te-125   1.131E-11 1.262E-12 52125
Te-126   5.167E-11 3.378E-12 52126
Te-128   2.315E-11 5.738E-12 52128
Te-130   1.522E-11 6.216E-12 52130
I-127    8.976E-12 1.460E-12 53127
Xe-124   4.707E-14 2.211E-14 54124
Xe-126   4.153E-14 1.951E-14 54126
Xe-128   1.360E-11 3.946E-13 54128
Xe-129   1.654E-11 4.897E-12 54129
Xe-130   2.849E-11 7.872E-13 54130
Xe-131   1.872E-11 3.948E-12 54131
Xe-132   5.826E-11 4.811E-12 54132
Xe-134   3.907E-11 1.790E-12 54134
Xe-136   1.586E-11 1.480E-12 54136
Cs-133   1.037E-11 1.427E-12 55133
Ba-130   3.865E-14 1.816E-14 56130
Ba-132   3.754E-14 1.764E-14 56132
Ba-134   1.335E-11 4.276E-13 56134
Ba-135   1.680E-11 1.175E-12 56135
Ba-136   3.870E-11 1.410E-12 56136
Ba-137   9.725E-11 2.032E-12 56137
Ba-138   2.494E-10 1.306E-11 56138
La-138   3.359E-15 1.606E-15 57138
La-139   2.783E-11 1.792E-12 57139
Ce-136   1.786E-14 8.389E-15 58136
Ce-138   2.448E-14 1.149E-14 58138
Ce-140   4.366E-11 4.107E-12 58140
Ce-142   1.057E-11 5.234E-13 58142
Pr-141   6.105E-12 6.917E-13 59141
Nd-142   7.496E-12 9.929E-13 60142
Nd-143   3.005E-12 4.488E-13 60143
Nd-144   9.864E-12 8.834E-13 60144
Nd-145   2.134E-12 3.098E-13 60145
Nd-146   8.204E-12 6.454E-13 60146
Nd-148   2.290E-12 2.187E-13 60148
Nd-150   5.235E-13 2.170E-13 60150
Sm-144   7.848E-14 3.687E-14 62144
Sm-147   1.256E-12 1.836E-13 62147
Sm-148   1.337E-12 1.386E-13 62148
Sm-149   6.940E-13 1.715E-13 62149
Sm-150   1.535E-12 9.221E-14 62150
Sm-152   1.966E-12 3.386E-13 62152
Sm-154   1.359E-12 2.919E-13 62154
Eu-151   6.518E-13 2.038E-13 63151
Eu-153   7.345E-13 2.254E-13 63153
Gd-152   2.218E-14 2.950E-15 64152
Gd-154   5.072E-13 3.212E-14 64154
Gd-155   8.081E-13 2.194E-13 64155
Gd-156   1.702E-12 3.054E-13 64156
Gd-157   9.987E-13 2.350E-13 64157
Gd-158   2.691E-12 3.753E-13 64158
Gd-160   1.336E-12 3.346E-13 64160
Tb-159   1.034E-12 2.767E-13 65159
Dy-156   2.138E-15 1.005E-15 66156
Dy-158   3.752E-15 1.744E-15 66158
Dy-160   6.760E-13 4.305E-14 66160
Dy-161   1.140E-12 3.501E-13 66161
Dy-162   2.466E-12 4.752E-13 66162
Dy-163   1.486E-12 4.667E-13 66163
Dy-164   3.311E-12 5.316E-13 66164
Ho-165   3.001E-12 8.495E-13 67165
Er-162   3.427E-15 1.610E-15 68162
Er-164   3.100E-13 1.915E-14 68164
Er-166   1.744E-12 4.048E-13 68166
Er-167   1.050E-12 2.778E-13 68167
Er-168   2.498E-12 3.266E-13 68168
Er-170   1.738E-12 1.842E-13 68170
Tm-169   8.234E-13 1.856E-13 69169
Yb-168   3.373E-15 1.585E-15 70168
Yb-170   5.092E-13 3.750E-14 70170
Yb-171   1.286E-12 1.772E-13 70171
Yb-172   2.315E-12 2.724E-13 70172
Yb-173   1.349E-12 2.025E-13 70173
Yb-174   4.776E-12 4.018E-13 70174
Yb-176   1.815E-12 1.629E-13 70176
Lu-175   9.701E-13 1.830E-13 71175
Lu-176   4.885E-13 4.528E-14 71176
Hf-174   2.623E-15 1.232E-15 72174
Hf-176   2.137E-13 4.040E-14 72176
Hf-177   8.209E-13 1.439E-13 72177
Hf-178   2.512E-12 2.123E-13 72178
Hf-179   9.577E-13 1.066E-13 72179
Hf-180   4.411E-12 2.770E-13 72180
Ta-180   5.773E-17 2.431E-17 73180
Ta-181   1.271E-12 1.987E-13 73181
W-180    2.277E-15 8.402E-16 74180
W-182    1.978E-12 1.879E-13 74182
W-183    1.231E-12 1.021E-13 74183
W-184    2.887E-12 2.197E-13 74184
W-186    1.832E-12 2.060E-13 74186
Re-185   8.630E-13 1.049E-13 75185
Re-187   7.605E-13 1.775E-13 75187
Os-184   1.514E-15 7.115E-16 76184
Os-186   7.862E-13 5.783E-14 76186
Os-187   2.980E-13 6.004E-14 76187
Os-188   2.977E-12 4.878E-13 76188
Os-189   1.708E-12 5.979E-13 76189
Os-190   4.160E-12 9.775E-13 76190
Os-192   4.699E-12 1.534E-12 76192
Ir-191   3.272E-12 1.359E-12 77191
Ir-193   5.517E-12 2.310E-12 77193
Pt-190   2.148E-15 1.009E-15 78190
Pt-192   5.128E-13 5.855E-14 78192
Pt-194   7.358E-12 2.492E-12 78194
Pt-195   6.233E-12 2.571E-12 78195
Pt-196   7.346E-12 1.928E-12 78196
Pt-198   1.687E-12 5.527E-13 78198
Au-197   3.316E-12 1.084E-12 79197
Hg-196   6.412E-15 3.012E-15 80196
Hg-198   2.998E-12 1.977E-13 80198
Hg-199   2.043E-12 3.363E-13 80199
Hg-200   4.913E-12 4.626E-13 80200
Hg-201   2.260E-12 2.653E-13 80201
Hg-202   6.946E-12 6.042E-13 80202
Hg-204   7.273E-13 1.403E-13 80204
Tl-203   3.261E-12 3.224E-13 81203
Tl-205   4.890E-12 7.771E-13 81205
Pb-204   3.409E-12 2.934E-13 82204
Pb-208   2.381E-10 8.858E-12 82208
Bi-209   1.640E-11 8.726E-13 83209
