H Table: (M=2.00, Z=0.00002)
   Isotopes     Yields  
   H-1          0.244962731373    
   H-2          1.02076096138e-06 
   He-3         7.89554580667e-05 
   He-4         0.105829321404    
   Be-7         6.23224407979e-08 
   B-8          7.08207247922e-15 
   Li-7         7.56376507505e-11 
   C-11         2.43616532515e-19 
   B-11         2.11132023705e-11 
   C-12         0.00860454828552  
   C-13         0.000808707470206 
   N-13         5.67193947545e-09 
   N-14         0.000530389699092 
   C-14         1.65264774243e-08 
   N-15         5.14372531157e-08 
   O-16         0.00723570589264  
   O-17         4.90124026882e-06 
   O-18         3.12269955312e-07 
   F-17         9.69635035821e-13 
   F-18         1.85764093496e-12 
   F-19         1.44218532349e-06 
   Ne-20        6.03026160047e-05 
   Ne-21        3.01266835338e-07 
   Ne-22        0.00111458437007  
   Na-22        5.64641598361e-08 
   Na-23        2.31461562701e-05 
   Mg-23        2.20583919847e-18 
   Mg-24        1.32372172119e-05 
   Mg-25        2.66024751945e-06 
   Mg-26        4.03840490772e-06 
   Al-26        4.35298899055e-09 
   Al-27        5.04301155547e-07 
   Si-27        8.60146959257e-22 
   Si-28        1.11455501592e-05 
   Si-29        3.09287579655e-07 
   Si-30        2.65303864141e-07 
   P-31         7.35113913444e-08 
   S-31         3.69310986331e-100
   Be-8         3.69310986331e-100
   O-14         1.1040754084e-15  
   O-15         1.93369304888e-12 
   Na-21        1.21088175217e-17 
   Al-25        7.15619483669e-18 
   P-29         5.57589823508e-25 
   P-30         5.36306404442e-21 
   Pb-206       3.16035569657e-09 
   Pb-207       3.74954090261e-09 
   Bi-211       5.9724017845e-28  
   Po-210       3.69310986331e-100
   F-20         2.93302723933e-25 
   Ne-19        1.39064941146e-20 
   Na-24        7.01798754287e-17 
   Mg-27        1.26700889662e-24 
   Mg-28        1.050036788e-29   
   Al-28        4.65103616092e-25 
   Al-29        8.86103108505e-36 
   Si-31        3.77313853396e-21 
   Si-32        8.3047740391e-15  
   P-32         2.59794238103e-18 
   P-33         5.05175631918e-20 
   P-34         8.83366215436e-100
   P-35         3.69310986331e-100
   S-32         7.99126106533e-06 
   S-33         3.32643409241e-08 
   S-34         1.51795855108e-07 
   S-35         2.5941083942e-18  
   S-36         1.79305030179e-09 
   S-37         5.77411917474e-28 
   S-38         3.70653618312e-100
   Cl-34        3.22483862469e-25 
   Cl-35        4.919063308e-08   
   Cl-36        2.5120840986e-10  
   Cl-37        3.5663747863e-08  
   Cl-38        1.15525926187e-23 
   Cl-39        3.66650954555e-33 
   Cl-40        3.69310986331e-100
   Ar-35        3.69310986331e-100
   Ar-36        1.17997238659e-06 
   Ar-37        6.86493206256e-14 
   Ar-38        1.27032565658e-07 
   Ar-39        1.60254691694e-11 
   Ar-40        7.36547659128e-10 
   Ar-41        4.55337951586e-24 
   Ar-42        1.33294500143e-19 
   Ar-43        3.83488748857e-100
   Ar-44        3.69310986331e-100
   K-38         8.46157575886e-29 
   K-39         3.01349883506e-08 
   K-40         3.76466255327e-10 
   K-41         3.03776492981e-09 
   K-42         1.29542874402e-20 
   K-43         1.61614376408e-27 
   K-44         3.69310986331e-100
   K-45         3.69310986331e-100
   K-46         3.69310986331e-100
   Ca-39        3.69310986331e-100
   Ca-40        8.74105002121e-07 
   Ca-41        7.99883340936e-10 
   Ca-42        4.9450479976e-09  
   Ca-43        1.04072050009e-09 
   Ca-44        1.32371370332e-08 
   Ca-45        2.29089861868e-17 
   Ca-46        3.56759287902e-11 
   Ca-47        2.31856362026e-22 
   Ca-48        1.23121326115e-09 
   Ca-49        8.6712778086e-28  
   Sc-43        6.22030372531e-22 
   Sc-44        7.98300533855e-23 
   Sc-45        5.52050692416e-10 
   Sc-46        7.16385337179e-18 
   Sc-47        1.9155073068e-22  
   Sc-48        4.86313677175e-36 
   Sc-49        7.56846348557e-25 
   Sc-50        3.69310986331e-100
   Ti-44        7.90921575102e-26 
   Ti-45        3.69310986331e-100
   Ti-46        2.60530260366e-09 
   Ti-47        2.17020581194e-09 
   Ti-48        3.8016663418e-08  
   Ti-49        2.77145429511e-09 
   Ti-50        4.09946513823e-09 
   Ti-51        1.77880615842e-26 
   Ti-52        2.78740743279e-53 
   V-47         3.99132140117e-26 
   V-48         9.38670362009e-23 
   V-49         2.76857776347e-21 
   V-50         7.07609059851e-12 
   V-51         3.07798738487e-09 
   V-52         9.23122863248e-26 
   V-53         1.47344664724e-44 
   Cr-48        3.69310986331e-100
   Cr-49        3.69310986331e-100
   Cr-50        5.75610479876e-09 
   Cr-51        6.80550151942e-16 
   Cr-52        1.20715467271e-07 
   Cr-53        1.38569941849e-08 
   Cr-54        5.80339571326e-09 
   Cr-55        3.5439382989e-26  
   Cr-56        5.17145207867e-45 
   Mn-51        7.42746710243e-28 
   Mn-52        5.33260400445e-41 
   Mn-53        6.30826959518e-21 
   Mn-54        3.46230997554e-22 
   Mn-55        8.46503641813e-08 
   Mn-56        9.17967469694e-21 
   Mn-57        2.55134968586e-33 
   Fe-52        3.69310986331e-100
   Fe-53        3.69310986331e-100
   Fe-54        5.70391090867e-07 
   Fe-55        6.04302964722e-10 
   Fe-56        9.55781783785e-06 
   Fe-57        2.89388823539e-07 
   Fe-58        1.32041489295e-07 
   Fe-59        1.37791442739e-16 
   Fe-60        6.17243630154e-10 
   Fe-61        1.99696463792e-27 
   Co-55        8.00052084841e-25 
   Co-56        5.65652549256e-28 
   Co-57        4.60124267249e-21 
   Co-58        2.71356482591e-23 
   Co-59        5.11461196943e-08 
   Co-60        4.24439822981e-15 
   Co-61        2.21321264347e-24 
   Co-62        7.00292944181e-51 
   Co-63        3.69310986331e-100
   Ni-56        3.69310986331e-100
   Ni-57        3.69310986331e-100
   Ni-58        4.02511761043e-07 
   Ni-59        2.89771929004e-09 
   Ni-60        1.83746097466e-07 
   Ni-61        1.60008298148e-08 
   Ni-62        3.88786274824e-08 
   Ni-63        2.28219822211e-11 
   Ni-64        1.38588555207e-08 
   Ni-65        3.49363119071e-22 
   Ni-66        6.12123378524e-28 
   Ni-67        3.69310986331e-100
   Ni-68        3.69310986331e-100
   Cu-60        9.74679073891e-31 
   Cu-61        3.90935320059e-27 
   Cu-62        1.73165844288e-31 
   Cu-63        1.12341060323e-08 
   Cu-64        3.90551866744e-19 
   Cu-65        6.26548153782e-09 
   Cu-66        4.65270305325e-25 
   Cu-67        9.16091736858e-28 
   Cu-68        3.69310986331e-100
   Cu-69        3.69310986331e-100
   Cu-70        3.69310986331e-100
   Cu-71        3.69310986331e-100
   Zn-62        3.69310986331e-100
   Zn-63        3.69310986331e-100
   Zn-64        1.02140288162e-08 
   Zn-65        3.90090687827e-13 
   Zn-66        7.30437010721e-09 
   Zn-67        1.23673876976e-09 
   Zn-68        5.49892726837e-09 
   Zn-69        6.35114581482e-23 
   Zn-70        1.13013726926e-10 
   Zn-71        2.71515144957e-28 
   Zn-72        1.13577989818e-50 
   Zn-73        3.69310986331e-100
   Zn-74        3.69310986331e-100
   Ga-65        7.30911883885e-34 
