H Table: (M=1.0,Z=0.001)
#H Lifetime: 6.171E+09
#H Mfinal: 5.845E-01
 Isotopes  Yields    
 H-1       3.025E-01 
 H-2       2.756E-06 
 He-3      1.208E-04 
 He-4      1.116E-01 
 Li-7      8.569E-12 
 B-11      1.188E-11 
 C-12      7.051E-04 
 C-13      1.271E-06 
 N-14      1.983E-05 
 N-15      1.099E-08 
 O-16      5.760E-04 
 O-17      6.285E-07 
 O-18      7.749E-08 
 F-19      1.506E-08 
 Ne-20     2.457E-05 
 Ne-21     2.361E-08 
 Ne-22     6.374E-06 
 Na-23     2.140E-07 
 Mg-24     6.324E-06 
 Mg-25     4.049E-07 
 Mg-26     5.422E-07 
 Al-27     2.997E-07 
 Si-28     6.289E-06 
 Si-29     1.641E-07 
 Si-30     1.146E-07 
 P-31      3.023E-08 
 Pb-206    3.666E-11 
 Pb-207    4.795E-11 
 S-32      4.538E-06 
 S-33      1.385E-08 
 S-34      7.910E-08 
 S-36      3.889E-10 
 Cl-35     2.832E-08 
 Cl-37     1.040E-08 
 Ar-36     6.794E-07 
 Ar-38     6.590E-08 
 Ar-40     1.300E-10 
 K-39      1.627E-08 
 K-40      1.246E-11 
 K-41      1.293E-09 
 Ca-40     5.003E-07 
 Ca-42     2.188E-09 
 Ca-43     4.702E-10 
 Ca-44     7.157E-09 
 Ca-46     1.608E-11 
 Ca-48     6.954E-10 
 Sc-45     2.347E-10 
 Ti-46     1.352E-09 
 Ti-47     1.238E-09 
 Ti-48     2.228E-08 
 Ti-49     9.641E-10 
 Ti-50     9.828E-10 
 V-50      4.209E-12 
 V-51      1.720E-09 
 Cr-50     3.426E-09 
 Cr-52     6.885E-08 
 Cr-53     7.958E-09 
 Cr-54     2.106E-09 
 Mn-55     4.565E-08 
 Fe-54     3.366E-07 
 Fe-56     5.487E-06 
 Fe-57     1.310E-07 
 Fe-58     2.224E-08 
 Co-59     1.787E-08 
 Ni-58     2.368E-07 
 Ni-60     9.555E-08 
 Ni-61     4.630E-09 
 Ni-62     1.437E-08 
 Ni-64     3.965E-09 
 Cu-63     3.193E-09 
 Cu-65     1.398E-09 
 Zn-64     4.758E-09 
 Zn-66     2.891E-09 
 Zn-67     4.374E-10 
 Zn-68     2.003E-09 
 Zn-70     6.545E-11 
 Ga-69     1.990E-10 
 Ga-71     1.354E-10 
 Ge-70     2.274E-10 
 Ge-72     2.983E-10 
 Ge-73     8.435E-11 
 Ge-74     3.988E-10 
 Ge-76     8.144E-11 
 As-75     6.088E-11 
 Se-74     4.964E-12 
 Se-76     5.715E-11 
 Se-77     4.569E-11 
 Se-78     1.478E-10 
 Se-80     3.074E-10 
 Se-82     5.412E-11 
 Br-79     5.923E-11 
 Br-81     5.886E-11 
 Kr-78     1.616E-12 
 Kr-80     1.076E-11 
 Kr-82     5.831E-11 
 Kr-83     5.621E-11 
 Kr-84     2.830E-10 
 Kr-86     8.945E-11 
 Rb-85     5.597E-11 
 Rb-87     2.220E-11 
 Sr-84     1.338E-12 
 Sr-86     2.686E-11 
 Sr-87     2.086E-11 
 Sr-88     2.492E-10 
 Y-89      6.306E-11 
 Zr-90     7.569E-11 
 Zr-91     1.756E-11 
 Zr-92     2.855E-11 
 Zr-94     2.793E-11 
 Zr-96     5.016E-12 
 Nb-93     9.837E-12 
 Mo-92     4.197E-12 
 Mo-94     2.681E-12 
 Mo-95     5.545E-12 
 Mo-96     6.382E-12 
 Mo-97     3.350E-12 
 Mo-98     9.008E-12 
 Mo-100    3.090E-12 
 Ru-96     1.212E-12 
 Ru-98     4.174E-13 
 Ru-99     3.118E-12 
 Ru-100    3.691E-12 
 Ru-101    4.117E-12 
 Ru-102    8.565E-12 
 Ru-104    4.510E-12 
 Rh-103    4.595E-12 
 Pd-102    1.758E-13 
 Pd-104    2.598E-12 
 Pd-105    4.139E-12 
 Pd-106    5.703E-12 
 Pd-108    5.859E-12 
 Pd-110    2.268E-12 
 Ag-107    3.409E-12 
 Ag-109    3.376E-12 
 Cd-106    2.630E-13 
 Cd-108    1.910E-13 
 Cd-110    3.582E-12 
 Cd-111    3.121E-12 
 Cd-112    6.530E-12 
 Cd-113    3.083E-12 
 Cd-114    8.245E-12 
 Cd-116    1.997E-12 
 In-113    1.079E-13 
 In-115    2.807E-12 
 Sn-112    5.060E-13 
 Sn-114    3.496E-13 
 Sn-115    1.814E-13 
 Sn-116    1.006E-11 
 Sn-117    4.927E-12 
 Sn-118    1.699E-11 
 Sn-119    5.873E-12 
 Sn-120    2.402E-11 
 Sn-122    3.321E-12 
 Sn-124    3.348E-12 
 Sb-121    3.090E-12 
 Sb-123    2.105E-12 
 Te-120    6.748E-14 
 Te-122    2.550E-12 
 Te-123    8.909E-13 
 Te-124    4.902E-12 
 Te-125    5.691E-12 
 Te-126    1.666E-11 
 Te-128    2.408E-11 
 Te-130    2.577E-11 
 I-127     6.402E-12 
 Xe-124    9.157E-14 
 Xe-126    8.078E-14 
 Xe-128    2.467E-12 
 Xe-129    2.064E-11 
 Xe-130    5.075E-12 
 Xe-131    1.705E-11 
 Xe-132    2.370E-11 
 Xe-134    7.932E-12 
 Xe-136    6.149E-12 
 Cs-133    6.457E-12 
 Ba-130    7.519E-14 
 Ba-132    7.303E-14 
 Ba-134    2.918E-12 
 Ba-135    5.715E-12 
 Ba-136    9.634E-12 
 Ba-137    1.190E-11 
 Ba-138    1.006E-10 
 La-138    6.564E-15 
 La-139    1.297E-11 
 Ce-136    3.474E-14 
 Ce-138    4.759E-14 
 Ce-140    3.498E-11 
 Ce-142    2.840E-12 
 Pr-141    4.744E-12 
 Nd-142    8.674E-12 
 Nd-143    2.629E-12 
 Nd-144    6.198E-12 
 Nd-145    1.756E-12 
 Nd-146    4.977E-12 
 Nd-148    1.315E-12 
 Nd-150    9.022E-13 
 Sm-144    1.527E-13 
 Sm-147    1.038E-12 
 Sm-148    1.009E-12 
 Sm-149    8.149E-13 
 Sm-150    8.508E-13 
 Sm-152    1.817E-12 
 Sm-154    1.368E-12 
 Eu-151    9.135E-13 
 Eu-153    1.014E-12 
 Gd-152    1.545E-14 
 Gd-154    2.831E-13 
 Gd-155    1.011E-12 
 Gd-156    1.605E-12 
 Gd-157    1.130E-12 
 Gd-158    2.174E-12 
 Gd-160    1.490E-12 
 Tb-159    1.283E-12 
 Dy-156    4.159E-15 
 Dy-158    7.226E-15 
 Dy-160    3.753E-13 
 Dy-161    1.564E-12 
 Dy-162    2.427E-12 
 Dy-163    2.090E-12 
 Dy-164    2.943E-12 
 Ho-165    3.878E-12 
 Er-162    6.667E-15 
 Er-164    1.402E-13 
 Er-166    1.949E-12 
 Er-167    1.293E-12 
 Er-168    1.942E-12 
 Er-170    1.088E-12 
 Tm-169    9.011E-13 
 Yb-168    6.561E-15 
 Yb-170    2.992E-13 
 Yb-171    1.010E-12 
 Yb-172    1.716E-12 
 Yb-173    1.135E-12 
 Yb-174    3.050E-12 
 Yb-176    1.230E-12 
 Lu-175    9.553E-13 
 Lu-176    3.316E-13 
 Hf-174    5.103E-15 
 Hf-176    2.242E-13 
 Hf-177    7.759E-13 
 Hf-178    1.655E-12 
 Hf-179    7.143E-13 
 Hf-180    2.703E-12 
 Ta-180    1.012E-16 
 Ta-181    1.151E-12 
 W-180     3.512E-15 
 W-182     1.428E-12 
 W-183     8.528E-13 
 W-184     2.033E-12 
 W-186     1.434E-12 
 Re-185    7.145E-13 
 Re-187    8.640E-13 
 Os-184    2.946E-15 
 Os-186    5.782E-13 
 Os-187    3.626E-13 
 Os-188    2.934E-12 
 Os-189    2.671E-12 
 Os-190    5.036E-12 
 Os-192    6.936E-12 
 Ir-191    5.803E-12 
 Ir-193    9.825E-12 
 Pt-190    4.179E-15 
 Pt-192    4.342E-13 
 Pt-194    1.112E-11 
 Pt-195    1.097E-11 
 Pt-196    9.424E-12 
 Pt-198    2.388E-12 
 Au-197    4.928E-12 
 Hg-196    1.247E-14 
 Hg-198    2.165E-12 
 Hg-199    2.039E-12 
 Hg-200    4.149E-12 
 Hg-201    2.085E-12 
 Hg-202    6.547E-12 
 Hg-204    7.212E-13 
 Tl-203    3.232E-12 
 Tl-205    6.735E-12 
 Pb-204    3.674E-12 
 Pb-208    4.562E-10 
 Bi-209    1.075E-11 
