H Table: (M=12.0,Z=0.001)
#H Lifetime: 1.964E+07
#H Mfinal: 1.620E+00
 Isotopes  Yields     
 H-1       5.502E+00  
 H-2       8.201E-06  
 He-3      2.499E-04  
 He-4      3.992E+00  
 Li-7      4.680E-13  
 B-11      2.498E-10  
 C-12      1.200E-01  
 C-13      2.720E-05  
 N-14      2.052E-03  
 N-15      9.068E-07  
 O-16      3.459E-01  
 O-17      9.736E-06  
 O-18      6.553E-05  
 F-19      5.640E-07  
 Ne-20     6.983E-03  
 Ne-21     3.307E-05  
 Ne-22     9.000E-04  
 Na-23     6.120E-05  
 Mg-24     2.430E-02  
 Mg-25     1.688E-04  
 Mg-26     1.659E-04  
 Al-27     2.467E-04  
 Si-28     9.122E-02  
 Si-29     5.557E-04  
 Si-30     7.766E-04  
 P-31      3.360E-04  
 Pb-206    2.812E-10  
 Pb-207    2.954E-10  
 S-32      4.813E-02  
 S-33      2.102E-04  
 S-34      1.190E-03  
 S-36      1.291E-07  
 Cl-35     9.662E-05  
 Cl-37     1.483E-05  
 Ar-36     8.531E-03  
 Ar-38     4.383E-04  
 Ar-40     4.817E-08  
 K-39      6.408E-05  
 K-40      4.286E-08  
 K-41      2.234E-06  
 Ca-40     6.576E-03  
 Ca-42     1.342E-05  
 Ca-43     2.943E-06  
 Ca-44     6.310E-05  
 Ca-46     1.141E-08  
 Ca-48     1.727E-08  
 Sc-45     1.504E-07  
 Ti-46     3.171E-06  
 Ti-47     2.105E-06  
 Ti-48     4.423E-04  
 Ti-49     1.246E-05  
 Ti-50     3.202E-08  
 V-50      2.030E-09  
 V-51      1.848E-05  
 Cr-50     3.305E-05  
 Cr-52     2.836E-03  
 Cr-53     1.461E-04  
 Cr-54     7.192E-08  
 Mn-55     4.077E-04  
 Fe-54     1.485E-03  
 Fe-56     1.625E-01  
 Fe-57     5.132E-03  
 Fe-58     1.399E-06  
 Co-59     1.280E-03  
 Ni-58     4.008E-02  
 Ni-60     5.967E-03  
 Ni-61     1.549E-04  
 Ni-62     4.986E-03  
 Ni-64     4.759E-07  
 Cu-63     3.751E-05  
 Cu-65     6.544E-06  
 Zn-64     1.621E-05  
