H Table: (M=2.0,Z=0.001)
#H Ejected Yields
#H in solar masses
   Isotopes      Yields       
   H-1           0.735322150202      
   H-2           2.64333895118e-06   
   He-3          0.000220062788588   
   He-4          0.292030281599      
   Be-7          6.89697817882e-08   
   B-8           1.10014734042e-14   
   Li-7          1.97574716685e-10   
   C-11          3.85094837082e-19   
   B-11          2.96545644712e-11   
   C-12          0.00691181615759    
   C-13          0.00070184699088    
   N-13          7.00015009445e-09   
   N-14          0.000605284475999   
   C-14          1.3800080829e-08    
   N-15          5.11185224668e-08   
   O-16          0.0012481960116     
   O-17          5.42920796988e-06   
   O-18          1.42494951212e-07   
   F-17          8.30879615009e-14   
   F-18          2.14224856826e-13   
   F-19          7.99689084016e-07   
   Ne-20         6.09290777105e-05   
   Ne-21         9.34304966771e-08   
   Ne-22         0.000251900208886   
   Na-22         9.62010535233e-09   
   Na-23         2.30538862722e-06   
   Mg-23         6.68846063747e-19   
   Mg-24         1.65605174681e-05   
   Mg-25         1.20750667747e-06   
   Mg-26         1.72051756951e-06   
   Al-26         4.23796277449e-09   
   Al-27         7.41929663878e-07   
   Si-27         1.84866555976e-21   
   Si-28         1.56990331015e-05   
   Si-29         4.16077039752e-07   
   Si-30         3.14187691037e-07   
   P-31          9.98302442109e-08   
   S-31          1.03788789024e-99   
   Be-8          1.03788789024e-99   
   O-14          3.05513793291e-15   
   O-15          3.63335507112e-12   
   Na-21         2.44524335594e-18   
   Al-25         1.20956518134e-18   
   P-29          5.6585255084e-25    
   P-30          6.01880910361e-21   
   Pb-206        9.58764248595e-10   
   Pb-207        1.65017465248e-09   
   Bi-211        3.93941896392e-31   
   Po-210        1.03788789024e-99   
   F-20          1.33838872189e-27   
   Ne-19         3.93718537405e-21   
   Na-24         8.38457667043e-19   
   Mg-27         7.08760959652e-27   
   Mg-28         1.58667323767e-57   
   Al-28         1.02501768641e-25   
   Al-29         2.5250226485e-37    
   Si-31         7.44487868715e-21   
   Si-32         9.65457519836e-14   
   P-32          2.27801902489e-17   
   P-33          4.45215582568e-20   
   P-34          3.24359926705e-60   
   P-35          1.03788789024e-99   
   S-32          1.12977249491e-05   
   S-33          3.8445569586e-08    
   S-34          2.06906898926e-07   
   S-35          2.93966994215e-18   
   S-36          1.94985945146e-09   
   S-37          1.20113093909e-28   
   S-38          2.48475756749e-60   
   Cl-34         2.07885583906e-25   
   Cl-35         7.01553854803e-08   
   Cl-36         1.21086021513e-10   
   Cl-37         3.04864382524e-08   
   Cl-38         5.2184745522e-24    
   Cl-39         1.44865074303e-35   
   Cl-40         1.03788789024e-99   
   Ar-35         1.03788789024e-99   
   Ar-36         1.68206890331e-06   
   Ar-37         6.22637643634e-13   
   Ar-38         1.6909881133e-07    
   Ar-39         3.73590011031e-11   
   Ar-40         9.12386326508e-10   
   Ar-41         1.59063913144e-23   
   Ar-42         2.87894853285e-18   
   Ar-43         5.66719757394e-78   
   Ar-44         1.03788789024e-99   
   K-38          2.97201576215e-29   
   K-39          4.12939628646e-08   
   K-40          2.0395994398e-10    
   K-41          3.31746133232e-09   
   K-42          5.28141185341e-21   
   K-43          5.48709973387e-29   
   K-44          1.03788789024e-99   
   K-45          1.03788789024e-99   
   K-46          1.03788789024e-99   
   Ca-39         1.03788789024e-99   
   Ca-40         1.24084975906e-06   
   Ca-41         3.81881795869e-10   
   Ca-42         5.75699170718e-09   
   Ca-43         1.22447191589e-09   
   Ca-44         1.80265234413e-08   
   Ca-45         1.20472832412e-17   
   Ca-46         9.29376959805e-11   
   Ca-47         2.95817459359e-21   
   Ca-48         1.73323814331e-09   
   Ca-49         1.15469983669e-28   
   Sc-43         3.19953877944e-22   
   Sc-44         4.47937856574e-23   
   Sc-45         6.43920274639e-10   
   Sc-46         6.0933698001e-18    
   Sc-47         4.1046506296e-21    
   Sc-48         1.92844764929e-33   
   Sc-49         2.20970607637e-25   
   Sc-50         3.48293633445e-65   
   Ti-44         2.33833083774e-26   
   Ti-45         1.03788789024e-99   
   Ti-46         3.44520262652e-09   
   Ti-47         3.07410506071e-09   
   Ti-48         5.48767365061e-08   
   Ti-49         2.82672086446e-09   
   Ti-50         3.54389605339e-09   
   Ti-51         1.07926909195e-27   
   Ti-52         3.37048611715e-60   
   V-47          6.34757086883e-27   
   V-48          6.00087255552e-23   
   V-49          9.93441354104e-21   
   V-50          1.03274143681e-11   
   V-51          4.30260178441e-09   
   V-52          4.60199840402e-27   
   V-53          2.76097469747e-41   
   Cr-48         1.03788789024e-99   
   Cr-49         1.03788789024e-99   
   Cr-50         8.40409952684e-09   
   Cr-51         9.63157399821e-15   
   Cr-52         1.71070032102e-07   
   Cr-53         1.9717632298e-08    
   Cr-54         6.1351700982e-09    
   Cr-55         4.31960803883e-27   
   Cr-56         3.26630494647e-40   
   Mn-51         8.79056120638e-29   
   Mn-52         1.03788789024e-99   
   Mn-53         3.0997263872e-20    
   Mn-54         1.84893969162e-21   
   Mn-55         1.1478644716e-07    
   Mn-56         4.7945000685e-21    
   Mn-57         1.53920970372e-35   
   Fe-52         1.03788789024e-99   
   Fe-53         1.03788789024e-99   
   Fe-54         8.27580850884e-07   
   Fe-55         7.83752188982e-10   
   Fe-56         1.36060736842e-05   
   Fe-57         3.48905391341e-07   
   Fe-58         9.11114252509e-08   
   Fe-59         2.89041041793e-16   
   Fe-60         7.08072392427e-09   
   Fe-61         2.85641294987e-26   
   Co-55         3.59810191661e-25   
   Co-56         2.8432465262e-28    
   Co-57         5.43932438847e-21   
   Co-58         1.59643939691e-23   
   Co-59         5.24212693006e-08   
   Co-60         7.28126064614e-15   
   Co-61         3.35675847044e-22   
   Co-62         4.28706747446e-37   
   Co-63         1.03788789024e-99   
   Ni-56         1.03788789024e-99   
   Ni-57         1.03788789024e-99   
   Ni-58         5.82803218789e-07   
   Ni-59         1.54715840653e-09   
   Ni-60         2.43558987594e-07   
   Ni-61         1.47905162934e-08   
   Ni-62         4.11160713158e-08   
   Ni-63         6.20321361054e-11   
   Ni-64         1.59299453302e-08   
   Ni-65         1.47649534823e-21   
   Ni-66         2.85908162557e-28   
   Ni-67         1.03788789024e-99   
   Ni-68         1.03788789024e-99   
   Cu-60         7.929689306e-33     
   Cu-61         2.79208942573e-27   
   Cu-62         3.080648706e-32     
   Cu-63         1.00580429221e-08   
   Cu-64         4.97272954524e-19   
   Cu-65         5.30490268168e-09   
   Cu-66         1.27586537379e-25   
   Cu-67         3.51962359995e-28   
   Cu-68         1.03788789024e-99   
   Cu-69         1.03788789024e-99   
   Cu-70         1.03788789024e-99   
   Cu-71         1.03788789024e-99   
   Zn-62         1.03788789024e-99   
   Zn-63         1.03788789024e-99   
   Zn-64         1.25161667104e-08   
   Zn-65         1.4763706833e-12    
   Zn-66         8.2093253279e-09    
   Zn-67         1.30360596319e-09   
   Zn-68         5.9985793578e-09    
   Zn-69         6.44341997715e-23   
   Zn-70         1.62817326748e-10   
   Zn-71         2.17451506145e-29   
   Zn-72         8.62521172824e-59   
   Zn-73         1.03788789024e-99   
   Zn-74         1.03788789024e-99   
   Ga-65         1.64056637827e-34   
