H Table: (M=20.0,Z=0.001)
#H Lifetime: 1.008E+07
#H Mfinal: 2.810E+00
 Isotopes  Yields    
 H-1       8.005E+00 
 H-2       8.813E-06 
 He-3      3.099E-04 
 He-4      6.358E+00 
 Li-7      6.833E-11 
 B-11      1.957E-09 
 C-12      2.216E-01 
 C-13      5.887E-04 
 N-14      4.003E-03 
 N-15      1.444E-06 
 O-16      1.871E+00 
 O-17      7.927E-06 
 O-18      3.135E-06 
 F-19      2.801E-07 
 Ne-20     1.711E-01 
 Ne-21     7.121E-05 
 Ne-22     1.480E-03 
 Na-23     5.240E-04 
 Mg-24     9.515E-02 
 Mg-25     3.922E-03 
 Mg-26     2.814E-03 
 Al-27     1.540E-03 
 Si-28     2.422E-01 
 Si-29     3.710E-03 
 Si-30     2.300E-03 
 P-31      9.013E-04 
 Pb-206    7.919E-10 
 Pb-207    5.814E-10 
 S-32      1.172E-01 
 S-33      4.282E-04 
 S-34      2.664E-03 
 S-36      8.308E-07 
 Cl-35     1.374E-04 
 Cl-37     3.451E-05 
 Ar-36     1.964E-02 
 Ar-38     1.074E-03 
 Ar-40     2.314E-07 
 K-39      1.248E-04 
 K-40      1.320E-07 
 K-41      4.772E-06 
 Ca-40     1.387E-02 
 Ca-42     2.794E-05 
 Ca-43     1.226E-07 
 Ca-44     6.407E-06 
 Ca-46     4.327E-08 
 Ca-48     3.384E-08 
 Sc-45     2.319E-07 
 Ti-46     7.153E-06 
 Ti-47     2.912E-07 
 Ti-48     6.395E-04 
 Ti-49     2.840E-05 
 Ti-50     1.896E-07 
 V-50      5.362E-09 
 V-51      4.719E-05 
 Cr-50     1.429E-04 
 Cr-52     5.524E-03 
 Cr-53     2.184E-04 
 Cr-54     2.366E-07 
 Mn-55     5.747E-04 
 Fe-54     3.355E-03 
 Fe-56     3.741E-02 
 Fe-57     1.150E-04 
 Fe-58     6.813E-06 
 Co-59     4.217E-06 
 Ni-58     1.505E-04 
 Ni-60     1.174E-05 
 Ni-61     2.974E-06 
 Ni-62     7.816E-06 
 Ni-64     2.952E-06 
 Cu-63     2.014E-06 
 Cu-65     1.838E-06 
 Zn-64     5.912E-07 
 Zn-66     2.319E-06 
 Zn-67     7.366E-07 
 Zn-68     2.819E-06 
 Zn-70     8.997E-08 
 Ga-69     4.012E-07 
 Ga-71     3.337E-07 
 Ge-70     3.875E-07 
 Ge-72     7.385E-07 
 Ge-73     1.538E-07 
 Ge-74     9.389E-07 
 Ge-76     7.900E-08 
 As-75     2.343E-07 
 Se-74     7.040E-08 
 Se-76     1.589E-07 
 Se-77     7.515E-08 
 Se-78     2.822E-07 
 Se-80     2.738E-07 
 Se-82     4.839E-08 
 Br-79     6.843E-08 
 Br-81     6.370E-08 
 Kr-78     1.870E-08 
 Kr-80     5.495E-08 
 Kr-82     1.065E-07 
 Kr-83     8.000E-08 
 Kr-84     4.184E-07 
 Kr-86     2.570E-07 
 Rb-85     1.592E-07 
 Rb-87     8.412E-08 
 Sr-84     2.233E-08 
 Sr-86     1.169E-07 
 Sr-87     7.009E-08 
 Sr-88     1.014E-06 
 Y-89      2.020E-07 
 Zr-90     1.832E-07 
 Zr-91     4.400E-08 
 Zr-92     5.864E-08 
 Zr-94     3.265E-08 
 Zr-96     3.451E-09 
 Nb-93     1.618E-08 
 Mo-92     2.511E-09 
 Mo-94     1.487E-09 
 Mo-95     6.188E-09 
 Mo-96     4.350E-09 
 Mo-97     1.437E-09 
 Mo-98     1.131E-08 
 Mo-100    1.030E-09 
 Ru-96     5.511E-10 
 Ru-98     7.231E-10 
 Ru-99     1.577E-09 
 Ru-100    1.942E-09 
 Ru-101    5.448E-10 
 Ru-102    4.927E-09 
 Ru-104    2.330E-09 
 Rh-103    1.370E-09 
 Pd-102    1.097E-09 
 Pd-104    7.647E-10 
 Pd-105    6.166E-10 
 Pd-106    1.765E-09 
 Pd-108    3.876E-09 
 Pd-110    1.409E-09 
 Ag-107    3.731E-10 
 Ag-109    1.233E-09 
 Cd-106    8.216E-10 
 Cd-108    6.290E-10 
 Cd-110    1.831E-09 
 Cd-111    5.405E-10 
 Cd-112    2.350E-09 
 Cd-113    5.666E-10 
 Cd-114    5.113E-09 
 Cd-116    1.082E-09 
 In-113    4.256E-11 
 In-115    7.984E-10 
 Sn-112    1.937E-09 
 Sn-114    3.256E-09 
 Sn-115    4.834E-11 
 Sn-116    2.352E-09 
 Sn-117    8.868E-10 
 Sn-118    6.928E-09 
 Sn-119    1.299E-09 
 Sn-120    1.090E-08 
 Sn-122    1.071E-09 
 Sn-124    1.871E-10 
 Sb-121    8.935E-10 
 Sb-123    2.495E-10 
 Te-120    1.064E-10 
 Te-122    8.290E-10 
 Te-123    1.095E-10 
 Te-124    9.773E-10 
 Te-125    5.259E-10 
 Te-126    3.466E-09 
 Te-128    1.754E-09 
 Te-130    9.145E-10 
 I-127     7.014E-10 
 Xe-124    2.395E-10 
 Xe-126    1.585E-10 
 Xe-128    9.352E-10 
 Xe-129    8.989E-10 
 Xe-130    9.233E-10 
 Xe-131    8.922E-10 
 Xe-132    3.339E-09 
 Xe-134    1.160E-09 
 Xe-136    3.680E-10 
 Cs-133    7.668E-10 
 Ba-130    8.536E-10 
 Ba-132    7.674E-11 
 Ba-134    2.339E-10 
 Ba-135    4.099E-10 
 Ba-136    2.460E-09 
 Ba-137    1.193E-09 
 Ba-138    1.065E-08 
 La-138    2.714E-13 
 La-139    1.014E-09 
 Ce-136    1.294E-10 
 Ce-138    5.137E-11 
 Ce-140    1.891E-09 
 Ce-142    1.047E-10 
 Pr-141    2.197E-10 
 Nd-142    4.276E-10 
 Nd-143    9.951E-11 
 Nd-144    2.011E-10 
 Nd-145    6.757E-11 
 Nd-146    1.292E-10 
 Nd-148    4.047E-11 
 Nd-150    3.475E-11 
 Sm-144    1.708E-10 
 Sm-147    3.675E-11 
 Sm-148    2.583E-11 
 Sm-149    2.612E-11 
 Sm-150    1.792E-11 
 Sm-152    5.817E-11 
 Sm-154    5.896E-11 
 Eu-151    3.066E-11 
 Eu-153    3.401E-11 
 Gd-152    1.211E-12 
 Gd-154    5.357E-12 
 Gd-155    3.618E-11 
 Gd-156    5.706E-11 
 Gd-157    3.677E-11 
 Gd-158    6.623E-11 
 Gd-160    5.882E-11 
 Tb-159    4.644E-11 
 Dy-156    9.224E-13 
 Dy-158    2.270E-12 
 Dy-160    2.078E-11 
 Dy-161    5.275E-11 
 Dy-162    8.037E-11 
 Dy-163    6.913E-11 
 Dy-164    8.771E-11 
 Ho-165    1.166E-10 
 Er-162    2.685E-12 
 Er-164    1.302E-11 
 Er-166    7.317E-11 
 Er-167    4.254E-11 
 Er-168    6.034E-11 
 Er-170    3.724E-11 
 Tm-169    3.323E-11 
 Yb-168    3.994E-12 
 Yb-170    3.111E-11 
 Yb-171    3.015E-11 
 Yb-172    6.341E-11 
 Yb-173    4.008E-11 
 Yb-174    8.281E-11 
 Yb-176    3.301E-11 
 Lu-175    3.114E-11 
 Lu-176    1.863E-11 
 Hf-174    7.190E-12 
 Hf-176    1.714E-11 
 Hf-177    3.002E-11 
 Hf-178    5.614E-11 
 Hf-179    2.338E-11 
 Hf-180    6.919E-11 
 Ta-180    6.333E-13 
 Ta-181    3.581E-11 
 W-180     9.807E-12 
 W-182     5.971E-11 
 W-183     2.900E-11 
 W-184     5.733E-11 
 W-186     3.880E-11 
 Re-185    2.279E-11 
 Re-187    2.950E-11 
 Os-184    8.416E-12 
 Os-186    1.505E-11 
 Os-187    8.943E-12 
 Os-188    8.463E-11 
 Os-189    8.289E-11 
 Os-190    1.431E-10 
 Os-192    2.094E-10 
 Ir-191    1.773E-10 
 Ir-193    3.012E-10 
 Pt-190    3.421E-12 
 Pt-192    1.576E-11 
 Pt-194    3.437E-10 
 Pt-195    3.429E-10 
 Pt-196    2.990E-10 
 Pt-198    8.516E-11 
 Au-197    1.664E-10 
 Hg-196    3.671E-11 
 Hg-198    6.381E-11 
 Hg-199    7.827E-11 
 Hg-200    1.424E-10 
 Hg-201    6.665E-11 
 Hg-202    1.817E-10 
 Hg-204    6.326E-11 
 Tl-203    8.568E-11 
 Tl-205    1.484E-10 
 Pb-204    1.064E-10 
 Pb-208    1.797E-09 
 Bi-209    1.509E-10 
