H Ejected Yields
H in solar masses
   Isotope     m3z1m3-bigpoc       m2z1m3-bigpoc       m2z2m3-bigpoc     
   Neutron-1   4.0708022108e-29    1.67620146184e-30   4.59311126115e-29 
   H-1         1.26957354416       0.735322150202      0.244962731373    
   H-2         9.8183912839e-07    2.64333895118e-06   1.02076096138e-06 
   He-3        0.000223464618745   0.000220062788588   7.89554580667e-05 
   He-4        0.476527045396      0.292030281599      0.105829321404    
   Be-7        4.42099965287e-08   6.89697817882e-08   6.23224407979e-08 
   B-8         9.40075897984e-15   1.10014734042e-14   7.08207247922e-15 
   Li-7        1.49358750015e-10   1.97574716685e-10   7.56376507505e-11 
   C-11        9.90258368139e-20   3.85094837082e-19   2.43616532515e-19 
   B-11        5.01026618398e-11   2.96545644712e-11   2.11132023705e-11 
   C-12        0.00352492710827    0.00691181615759    0.00860454828552  
   C-13        0.000398249724691   0.00070184699088    0.000808707470206 
   N-13        4.31065918846e-09   7.00015009445e-09   5.67193947545e-09 
   N-14        0.000566390391999   0.000605284475999   0.000530389699092 
   C-14        2.98163629376e-08   1.3800080829e-08    1.65264774243e-08 
   N-15        3.77250181594e-08   5.11185224668e-08   5.14372531157e-08 
   O-16        0.00162599406086    0.0012481960116     0.00723570589264  
   O-17        4.16149567683e-06   5.42920796988e-06   4.90124026882e-06 
   O-18        2.4061933219e-07    1.42494951212e-07   3.12269955312e-07 
   F-17        2.09322983833e-13   8.30879615009e-14   9.69635035821e-13 
   F-18        2.96691309285e-13   2.14224856826e-13   1.85764093496e-12 
   F-19        6.98346204405e-07   7.99689084016e-07   1.44218532349e-06 
   Ne-20       0.000102594654527   6.09290777105e-05   6.03026160047e-05 
   Ne-21       2.33189223225e-07   9.34304966771e-08   3.01266835338e-07 
   Ne-22       0.000121303145634   0.000251900208886   0.00111458437007  
   Na-22       1.19988409114e-08   9.62010535233e-09   5.64641598361e-08 
   Na-23       1.89963355073e-06   2.30538862722e-06   2.31461562701e-05 
   Mg-23       2.07018214432e-18   6.68846063747e-19   2.20583919847e-18 
   Mg-24       2.69236929618e-05   1.65605174681e-05   1.32372172119e-05 
   Mg-25       1.85806386524e-06   1.20750667747e-06   2.66024751945e-06 
   Mg-26       2.86729661698e-06   1.72051756951e-06   4.03840490772e-06 
   Al-26       1.62123782563e-09   4.23796277449e-09   4.35298899055e-09 
   Al-27       1.40383136856e-06   7.41929663878e-07   5.04301155547e-07 
   Si-27       1.53760035171e-22   1.84866555976e-21   8.60146959257e-22 
   Si-28       2.69077584851e-05   1.56990331015e-05   1.11455501592e-05 
   Si-29       7.1024847498e-07    4.16077039752e-07   3.09287579655e-07 
   Si-30       5.1174805997e-07    3.14187691037e-07   2.65303864141e-07 
   P-31        1.83515148772e-07   9.98302442109e-08   7.35113913444e-08 
   S-31        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Be-8        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   O-14        3.1279559292e-15    3.05513793291e-15   1.1040754084e-15  
   O-15        6.84946200836e-12   3.63335507112e-12   1.93369304888e-12 
   Na-21       9.16506558959e-18   2.44524335594e-18   1.21088175217e-17 
   Al-25       6.08283589653e-18   1.20956518134e-18   7.15619483669e-18 
   P-29        1.57502455157e-24   5.6585255084e-25    5.57589823508e-25 
   P-30        1.42973212213e-20   6.01880910361e-21   5.36306404442e-21 
   Pb-206      2.18614071909e-09   9.58764248595e-10   3.16035569657e-09 
   Pb-207      3.5168535875e-09    1.65017465248e-09   3.74954090261e-09 
   Bi-211      4.47023365994e-27   3.93941896392e-31   5.9724017845e-28  
   Po-210      1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   F-20        1.0976957027e-25    1.33838872189e-27   2.93302723933e-25 
   Ne-19       1.36464484077e-20   3.93718537405e-21   1.39064941146e-20 
   Na-24       4.16519077932e-17   8.38457667043e-19   7.01798754287e-17 
   Mg-27       6.07184873825e-25   7.08760959652e-27   1.26700889662e-24 
   Mg-28       2.23233270992e-25   1.58667323767e-57   1.050036788e-29   
   Al-28       2.7325536499e-24    1.02501768641e-25   4.65103616092e-25 
   Al-29       3.82330251221e-33   2.5250226485e-37    8.86103108505e-36 
   Si-31       7.79841379155e-21   7.44487868715e-21   3.77313853396e-21 
   Si-32       3.56441324585e-12   9.65457519836e-14   8.3047740391e-15  
   P-32        3.35189959421e-15   2.27801902489e-17   2.59794238103e-18 
   P-33        3.32192549484e-17   4.45215582568e-20   5.05175631918e-20 
   P-34        2.81171258691e-35   3.24359926705e-60   8.83366215436e-100
   P-35        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   S-32        1.91396811308e-05   1.12977249491e-05   7.99126106533e-06 
   S-33        6.14785268732e-08   3.8445569586e-08    3.32643409241e-08 
   S-34        3.41781095519e-07   2.06906898926e-07   1.51795855108e-07 
   S-35        2.85858430153e-16   2.93966994215e-18   2.5941083942e-18  
   S-36        3.28958858098e-09   1.94985945146e-09   1.79305030179e-09 
   S-37        1.04615165592e-27   1.20113093909e-28   5.77411917474e-28 
   S-38        1.50941057833e-34   2.48475756749e-60   3.70653618312e-100
   Cl-34       8.01853786452e-25   2.07885583906e-25   3.22483862469e-25 
   Cl-35       1.19230503592e-07   7.01553854803e-08   4.919063308e-08   
   Cl-36       8.96321387188e-11   1.21086021513e-10   2.5120840986e-10  
   Cl-37       4.4702046808e-08    3.04864382524e-08   3.5663747863e-08  
   Cl-38       2.52236816983e-24   5.2184745522e-24    1.15525926187e-23 
   Cl-39       3.81437603534e-31   1.44865074303e-35   3.66650954555e-33 
   Cl-40       3.21918958656e-46   1.03788789024e-99   3.69310986331e-100
   Ar-35       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ar-36       2.85830450677e-06   1.68206890331e-06   1.17997238659e-06 
   Ar-37       4.70001123545e-11   6.22637643634e-13   6.86493206256e-14 
   Ar-38       2.79792543491e-07   1.6909881133e-07    1.27032565658e-07 
   Ar-39       3.4340347287e-10    3.73590011031e-11   1.60254691694e-11 
   Ar-40       1.27863374652e-09   9.12386326508e-10   7.36547659128e-10 
   Ar-41       9.1948153532e-24    1.59063913144e-23   4.55337951586e-24 
   Ar-42       3.92968622003e-15   2.87894853285e-18   1.33294500143e-19 
   Ar-43       1.42316250674e-32   5.66719757394e-78   3.83488748857e-100
   Ar-44       6.00721313456e-50   1.03788789024e-99   3.69310986331e-100
   K-38        2.70508169716e-25   2.97201576215e-29   8.46157575886e-29 
   K-39        6.85252731814e-08   4.12939628646e-08   3.01349883506e-08 
   K-40        1.35142536077e-10   2.0395994398e-10    3.76466255327e-10 
   K-41        5.37334118399e-09   3.31746133232e-09   3.03776492981e-09 
   K-42        2.51568924644e-19   5.28141185341e-21   1.29542874402e-20 
   K-43        3.75640338433e-23   5.48709973387e-29   1.61614376408e-27 
   K-44        1.41038369321e-37   1.03788789024e-99   3.69310986331e-100
   K-45        2.70989973917e-47   1.03788789024e-99   3.69310986331e-100
   K-46        1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ca-39       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ca-40       2.10580197719e-06   1.24084975906e-06   8.74105002121e-07 
   Ca-41       2.47060946148e-10   3.81881795869e-10   7.99883340936e-10 
   Ca-42       9.28221878463e-09   5.75699170718e-09   4.9450479976e-09  
   Ca-43       1.98581359001e-09   1.22447191589e-09   1.04072050009e-09 
   Ca-44       3.02672018097e-08   1.80265234413e-08   1.32371370332e-08 
   Ca-45       7.0241008902e-16    1.20472832412e-17   2.29089861868e-17 
   Ca-46       7.89449497794e-11   9.29376959805e-11   3.56759287902e-11 
   Ca-47       1.0239603123e-18    2.95817459359e-21   2.31856362026e-22 
   Ca-48       2.92999923143e-09   1.73323814331e-09   1.23121326115e-09 
   Ca-49       2.97293881077e-28   1.15469983669e-28   8.6712778086e-28  
   Sc-43       4.09277150761e-23   3.19953877944e-22   6.22030372531e-22 
   Sc-44       5.4382490396e-24    4.47937856574e-23   7.98300533855e-23 
   Sc-45       1.03626902485e-09   6.43920274639e-10   5.52050692416e-10 
   Sc-46       7.55121208724e-16   6.0933698001e-18    7.16385337179e-18 
   Sc-47       1.34816178387e-18   4.1046506296e-21    1.9155073068e-22  
   Sc-48       6.25486578849e-24   1.92844764929e-33   4.86313677175e-36 
   Sc-49       6.83389949048e-26   2.20970607637e-25   7.56846348557e-25 
   Sc-50       1.21355221396e-38   3.48293633445e-65   3.69310986331e-100
   Ti-44       1.05554528268e-25   2.33833083774e-26   7.90921575102e-26 
   Ti-45       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ti-46       5.75966606532e-09   3.44520262652e-09   2.60530260366e-09 
   Ti-47       5.22664741371e-09   3.07410506071e-09   2.17020581194e-09 
   Ti-48       9.35859366824e-08   5.48767365061e-08   3.8016663418e-08  
   Ti-49       4.43047543681e-09   2.82672086446e-09   2.77145429511e-09 
   Ti-50       5.32393759215e-09   3.54389605339e-09   4.09946513823e-09 
   Ti-51       6.88080416802e-27   1.07926909195e-27   1.77880615842e-26 
   Ti-52       1.05739994062e-37   3.37048611715e-60   2.78740743279e-53 
   V-47        1.98831701107e-27   6.34757086883e-27   3.99132140117e-26 
   V-48        2.97622669675e-23   6.00087255552e-23   9.38670362009e-23 
   V-49        2.28289457988e-18   9.93441354104e-21   2.76857776347e-21 
   V-50        1.76474584673e-11   1.03274143681e-11   7.07609059851e-12 
   V-51        7.29600069606e-09   4.30260178441e-09   3.07798738487e-09 
   V-52        3.47516422014e-26   4.60199840402e-27   9.23122863248e-26 
   V-53        3.71649619822e-36   2.76097469747e-41   1.47344664724e-44 
   Cr-48       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Cr-49       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Cr-50       1.43629592932e-08   8.40409952684e-09   5.75610479876e-09 
   Cr-51       3.19522716053e-12   9.63157399821e-15   6.80550151942e-16 
   Cr-52       2.90084961302e-07   1.71070032102e-07   1.20715467271e-07 
   Cr-53       3.35326171472e-08   1.9717632298e-08    1.38569941849e-08 
   Cr-54       9.37490403569e-09   6.1351700982e-09    5.80339571326e-09 
   Cr-55       1.85732655581e-26   4.31960803883e-27   3.5439382989e-26  
   Cr-56       9.30785137031e-36   3.26630494647e-40   5.17145207867e-45 
   Mn-51       1.96343622988e-29   8.79056120638e-29   7.42746710243e-28 
   Mn-52       1.15764965355e-26   1.03788789024e-99   5.33260400445e-41 
   Mn-53       6.74188940158e-19   3.0997263872e-20    6.30826959518e-21 
   Mn-54       2.33934832805e-19   1.84893969162e-21   3.46230997554e-22 
   Mn-55       1.91780361138e-07   1.1478644716e-07    8.46503641813e-08 
   Mn-56       2.30976018565e-21   4.7945000685e-21    9.17967469694e-21 
   Mn-57       6.88459844953e-33   1.53920970372e-35   2.55134968586e-33 
   Fe-52       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Fe-53       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Fe-54       1.4125781098e-06    8.27580850884e-07   5.70391090867e-07 
   Fe-55       1.94656213459e-09   7.83752188982e-10   6.04302964722e-10 
   Fe-56       2.30902025411e-05   1.36060736842e-05   9.55781783785e-06 
   Fe-57       5.69330118425e-07   3.48905391341e-07   2.89388823539e-07 
   Fe-58       1.06724450803e-07   9.11114252509e-08   1.32041489295e-07 
   Fe-59       4.22237615651e-14   2.89041041793e-16   1.37791442739e-16 
   Fe-60       6.2039621993e-10    7.08072392427e-09   6.17243630154e-10 
   Fe-61       5.96721360448e-27   2.85641294987e-26   1.99696463792e-27 
   Co-55       5.01010917155e-26   3.59810191661e-25   8.00052084841e-25 
   Co-56       6.60575572114e-25   2.8432465262e-28    5.65652549256e-28 
   Co-57       2.0747780755e-19    5.43932438847e-21   4.60124267249e-21 
   Co-58       3.80751173974e-22   1.59643939691e-23   2.71356482591e-23 
   Co-59       7.59103532408e-08   5.24212693006e-08   5.11461196943e-08 
   Co-60       5.46475680388e-12   7.28126064614e-15   4.24439822981e-15 
   Co-61       1.10541079629e-23   3.35675847044e-22   2.21321264347e-24 
   Co-62       3.2061018743e-35    4.28706747446e-37   7.00292944181e-51 
   Co-63       4.52325345162e-47   1.03788789024e-99   3.69310986331e-100
   Ni-56       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ni-57       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ni-58       9.93982015149e-07   5.82803218789e-07   4.02511761043e-07 
   Ni-59       1.24001643043e-09   1.54715840653e-09   2.89771929004e-09 
   Ni-60       4.02178735626e-07   2.43558987594e-07   1.83746097466e-07 
   Ni-61       2.0153054307e-08    1.47905162934e-08   1.60008298148e-08 
   Ni-62       6.15097935685e-08   4.11160713158e-08   3.88786274824e-08 
   Ni-63       8.90282125738e-10   6.20321361054e-11   2.28219822211e-11 
   Ni-64       1.92686246994e-08   1.59299453302e-08   1.38588555207e-08 
   Ni-65       4.88548475638e-22   1.47649534823e-21   3.49363119071e-22 
   Ni-66       3.57715531628e-22   2.85908162557e-28   6.12123378524e-28 
   Ni-67       2.00333865346e-41   1.03788789024e-99   3.69310986331e-100
   Ni-68       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Cu-60       3.5981759744e-32    7.929689306e-33     9.74679073891e-31 
   Cu-61       1.2183908114e-28    2.79208942573e-27   3.90935320059e-27 
   Cu-62       3.39049432426e-32   3.080648706e-32     1.73165844288e-31 
   Cu-63       1.22183978051e-08   1.00580429221e-08   1.12341060323e-08 
   Cu-64       1.09431103388e-17   4.97272954524e-19   3.90551866744e-19 
   Cu-65       6.65408146127e-09   5.30490268168e-09   6.26548153782e-09 
   Cu-66       7.67798367611e-25   1.27586537379e-25   4.65270305325e-25 
   Cu-67       1.35291995945e-22   3.51962359995e-28   9.16091736858e-28 
   Cu-68       3.35766387618e-39   1.03788789024e-99   3.69310986331e-100
   Cu-69       7.79571592288e-46   1.03788789024e-99   3.69310986331e-100
   Cu-70       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Cu-71       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zn-62       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zn-63       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Zn-64       1.99827425109e-08   1.25161667104e-08   1.02140288162e-08 
   Zn-65       3.26778280538e-11   1.4763706833e-12    3.90090687827e-13 
   Zn-66       1.28755832559e-08   8.2093253279e-09    7.30437010721e-09 
   Zn-67       2.00934875612e-09   1.30360596319e-09   1.23673876976e-09 
   Zn-68       9.59462211176e-09   5.9985793578e-09    5.49892726837e-09 
   Zn-69       3.48081782423e-23   6.44341997715e-23   6.35114581482e-23 
   Zn-70       2.7625746172e-10    1.62817326748e-10   1.13013726926e-10 
   Zn-71       1.15549296789e-28   2.17451506145e-29   2.71515144957e-28 
   Zn-72       1.47868110986e-26   8.62521172824e-59   1.13577989818e-50 
   Zn-73       5.42587313127e-54   1.03788789024e-99   3.69310986331e-100
   Zn-74       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ga-65       1.32487263264e-34   1.64056637827e-34   7.30911883885e-34 
   Ga-66       3.7275172612e-40    1.03788789024e-99   3.69310986331e-100
   Ga-67       9.85041117766e-29   8.31178760196e-28   6.98241784516e-28 
   Ga-68       4.31932891614e-34   9.50353156854e-34   1.951210657e-31   
   Ga-69       1.01156922592e-09   6.54291721684e-10   6.39497085072e-10 
   Ga-70       1.39791359299e-24   1.41343318769e-24   2.4943093745e-24  
   Ga-71       7.02257280071e-10   4.81707016584e-10   4.64166642282e-10 
   Ga-72       3.23910326599e-19   1.73407043959e-20   1.37860515528e-20 
   Ga-73       1.9547199246e-25    5.11413771698e-29   1.21194576529e-28 
   Ga-74       6.60154495831e-37   1.89561687446e-86   3.69310986331e-100
   Ga-75       1.00213949783e-46   1.03788789024e-99   3.69310986331e-100
   Ge-66       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ge-67       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ge-68       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ge-69       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Ge-70       1.24443041736e-09   8.17868342725e-10   8.08441132218e-10 
   Ge-71       4.56139252225e-15   7.85313213417e-18   2.31916843046e-18 
   Ge-72       1.60847406365e-09   9.80505809837e-10   8.63803047517e-10 
   Ge-73       4.61688074956e-10   2.75678294986e-10   2.39393455513e-10 
   Ge-74       2.37077307291e-09   1.37313859999e-09   1.14750310426e-09 
   Ge-75       8.12858812744e-23   6.00411417274e-23   5.20291767031e-23 
   Ge-76       3.43937012421e-10   2.01741067657e-10   1.39568713696e-10 
   Ge-77       7.89055185697e-22   3.55114391777e-23   6.58098075638e-23 
   Ge-78       9.79986151139e-31   7.16048771922e-40   1.1371824999e-33  
   As-69       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   As-70       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   As-71       6.0364818037e-35    4.93373615814e-37   2.14207315414e-30 
   As-72       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   As-73       7.10746155726e-31   6.16547243263e-37   1.47781807813e-29 
   As-74       1.17772857073e-26   7.82703631708e-28   4.30025488929e-28 
   As-75       3.26091322508e-10   1.88384056969e-10   1.48012173564e-10 
   As-76       9.72216824948e-20   1.44910859556e-20   1.3397113776e-20  
   As-77       1.13225590306e-19   1.89748689045e-22   7.85352403513e-22 
   As-78       8.96868892804e-30   3.3048715475e-37    7.58172839029e-32 
   As-79       1.52466452162e-39   1.03788789024e-99   3.69310986331e-100
   As-80       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   As-81       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Se-72       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Se-73       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Se-74       2.07778215952e-11   1.2096593329e-11    8.15918504138e-12 
   Se-75       3.00124809942e-18   2.28221538249e-20   6.44195030712e-20 
   Se-76       4.01446968622e-10   2.3052953354e-10    1.99466631866e-10 
   Se-77       2.55564036706e-10   1.4776156305e-10    1.16351313878e-10 
   Se-78       1.0511502334e-09    5.90923186877e-10   4.76742486204e-10 
   Se-79       7.45694689296e-11   3.2581312465e-11    1.40540510657e-11 
   Se-80       1.79304745577e-09   9.62993720459e-10   6.56406019701e-10 
   Se-81       8.20467963183e-25   1.24050421075e-25   4.39528462374e-25 
   Se-82       2.27974358344e-10   1.34087387226e-10   9.39897671668e-11 
   Se-83       1.45333277747e-27   1.13940731512e-27   4.76735246165e-27 
   Se-84       7.16004278149e-38   1.14398632406e-60   3.6932894322e-100 
   Br-74       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-75       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-76       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-77       1.74786082439e-99   1.03788789024e-99   1.31836377516e-54 
   Br-78       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-79       2.6407463384e-10    1.54602620191e-10   1.18663016049e-10 
   Br-80       7.45478156395e-25   3.7965891266e-25    9.83782285452e-25 
   Br-81       3.36829739904e-10   1.82174472041e-10   1.27160738686e-10 
   Br-82       1.09580259534e-17   9.66191641827e-21   3.21076077196e-20 
   Br-83       6.02770595255e-25   4.70912490786e-25   6.11535369658e-25 
   Br-84       2.22765330128e-33   4.93935041964e-39   2.79161267223e-36 
   Br-85       6.95926175261e-45   1.03788789024e-99   3.69310986331e-100
   Br-86       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Br-87       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Kr-76       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Kr-77       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Kr-78       6.76499121343e-12   3.93805701094e-12   2.65790868572e-12 
   Kr-79       1.16419810771e-22   3.86938093119e-24   2.59945715168e-23 
   Kr-80       5.51180472838e-11   3.79243731715e-11   4.00442141693e-11 
   Kr-81       3.9262072706e-12    7.21840223481e-12   1.13243769199e-11 
   Kr-82       5.02611818133e-10   2.85397095252e-10   2.30892844724e-10 
   Kr-83       3.31164983862e-10   1.87092739262e-10   1.38475208838e-10 
   Kr-84       1.8820045191e-09    9.82599388585e-10   7.32995128666e-10 
   Kr-85       2.27756651323e-11   3.38498503432e-16   4.42252687266e-16 
   Kr-86       1.52773491916e-09   3.57544980883e-10   2.85137632319e-10 
   Kr-87       4.9831074884e-24    3.80367093571e-25   8.77882400178e-25 
   Kr-88       2.28512957168e-29   1.29251482344e-57   1.07125932922e-33 
   Kr-89       3.56734954979e-43   1.03788789024e-99   3.69310986331e-100
   Kr-90       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-79       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-80       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-81       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-82       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Rb-83       2.71662434308e-70   1.03788789024e-99   3.69310986331e-100
   Rb-84       2.97487018863e-29   6.61598387501e-30   1.13785163636e-29 
   Rb-85       4.17903192133e-10   2.02397055069e-10   1.46508404921e-10 
   Rb-86       1.56934842319e-15   3.19437311495e-19   4.67056708589e-19 
   Rb-87       4.34793183494e-10   9.77665952673e-11   6.42582141005e-11 
   Rb-88       1.50515780453e-25   7.7103502589e-27    2.86736868577e-26 
   Rb-89       5.80508382967e-33   2.19265520276e-39   2.58997741794e-36 
   Rb-90       8.43487244869e-42   1.03788789024e-99   3.69310986331e-100
   Rb-91       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-80       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-81       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-82       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-83       1.74786082439e-99   1.03788789024e-99   3.69310986331e-100
   Sr-84       5.59892709668e-12   3.25722925696e-12   2.19189757376e-12 
   Sr-85       3.09657037057e-20   2.00106689169e-21   5.05475729159e-21 
