H Table: (M=5.0,Z=0.001)
#H Lifetime: 9.316E+07
#H Mfinal: 9.855E-01
 Isotopes  Yields   
 H-1       2.572E+00
 H-2       8.451E-09
 He-3      1.082E-05
 He-4      1.434E+00
 Li-7      7.686E-09
 B-11      1.148E-10
 C-12      1.118E-03
 C-13      1.163E-04
 N-14      6.323E-03
 N-15      2.038E-07
 O-16      1.211E-03
 O-17      5.662E-06
 O-18      2.890E-08
 F-19      4.876E-09
 Ne-20     2.282E-04
 Ne-21     6.685E-08
 Ne-22     3.098E-05
 Na-23     1.561E-06
 Mg-24     7.693E-06
 Mg-25     6.187E-05
 Mg-26     2.544E-05
 Al-27     4.639E-06
 Si-28     6.203E-05
 Si-29     1.741E-06
 Si-30     1.403E-06
 P-31      4.000E-07
 Pb-206    1.914E-10
 Pb-207    2.067E-10
 S-32      4.380E-05
 S-33      1.355E-07
 S-34      7.759E-07
 S-36      5.807E-09
 Cl-35     2.739E-07
 Cl-37     1.039E-07
 Ar-36     6.553E-06
 Ar-38     6.388E-07
 Ar-40     3.402E-09
 K-39      1.583E-07
 K-40      1.728E-10
 K-41      1.407E-08
 Ca-40     4.826E-06
 Ca-42     2.104E-08
 Ca-43     4.533E-09
 Ca-44     6.953E-08
 Ca-46     8.361E-10
 Ca-48     6.751E-09
 Sc-45     2.526E-09
 Ti-46     1.307E-08
 Ti-47     1.200E-08
 Ti-48     2.150E-07
 Ti-49     9.702E-09
 Ti-50     9.860E-09
 V-50      4.043E-11
 V-51      1.674E-08
 Cr-50     3.290E-08
 Cr-52     6.644E-07
 Cr-53     7.635E-08
 Cr-54     2.111E-08
 Mn-55     4.484E-07
 Fe-54     3.240E-06
 Fe-56     5.293E-05
 Fe-57     1.266E-06
 Fe-58     2.039E-07
 Co-59     1.764E-07
 Ni-58     2.284E-06
 Ni-60     9.508E-07
 Ni-61     4.777E-08
 Ni-62     1.446E-07
 Ni-64     6.027E-08
 Cu-63     3.771E-08
 Cu-65     1.870E-08
 Zn-64     4.527E-08
 Zn-66     3.163E-08
 Zn-67     5.109E-09
