H Table: (M=7.0,Z=0.001)
#H Lifetime: 4.710E+07
#H Mfinal: 1.259E+00
 Isotopes  Yields   
 H-1       3.546E+00
 H-2       8.738E-09
 He-3      3.921E-05
 He-4      2.182E+00
 Li-7      9.104E-07
 B-11      1.641E-10
 C-12      9.885E-04
 C-13      2.954E-04
 N-14      7.913E-03
 N-15      8.361E-06
 O-16      3.686E-03
 O-17      6.607E-05
 O-18      3.921E-06
 F-19      1.682E-08
 Ne-20     3.699E-04
 Ne-21     9.644E-08
 Ne-22     5.094E-05
 Na-23     5.904E-06
 Mg-24     4.042E-05
 Mg-25     1.207E-04
 Mg-26     1.252E-05
 Al-27     5.905E-06
 Si-28     8.869E-05
 Si-29     2.276E-06
 Si-30     1.568E-06
 P-31      4.214E-07
 Pb-206    1.638E-10
 Pb-207    1.806E-10
 S-32      6.273E-05
 S-33      1.950E-07
 S-34      1.088E-06
 S-36      5.111E-09
 Cl-35     3.922E-07
 Cl-37     1.505E-07
 Ar-36     9.386E-06
 Ar-38     9.070E-07
 Ar-40     1.961E-09
 K-39      2.248E-07
 K-40      4.159E-10
 K-41      2.209E-08
 Ca-40     6.913E-06
 Ca-42     2.955E-08
 Ca-43     6.258E-09
 Ca-44     9.845E-08
 Ca-46     2.282E-10
 Ca-48     9.611E-09
 Sc-45     3.205E-09
 Ti-46     1.862E-08
 Ti-47     1.696E-08
 Ti-48     3.075E-07
 Ti-49     1.422E-08
 Ti-50     1.302E-08
 V-50      5.764E-11
 V-51      2.403E-08
 Cr-50     4.690E-08
 Cr-52     9.518E-07
 Cr-53     1.088E-07
 Cr-54     3.015E-08
 Mn-55     6.544E-07
 Fe-54     4.629E-06
 Fe-56     7.586E-05
 Fe-57     1.835E-06
 Fe-58     2.694E-07
 Co-59     2.414E-07
 Ni-58     3.269E-06
 Ni-60     1.309E-06
 Ni-61     6.403E-08
 Ni-62     1.905E-07
 Ni-64     5.488E-08
 Cu-63     4.185E-08
 Cu-65     2.028E-08
 Zn-64     6.553E-08
 Zn-66     4.018E-08
 Zn-67     6.178E-09
 Zn-68     2.910E-08
 Zn-70     9.076E-10
 Ga-69     3.027E-09
 Ga-71     2.102E-09
 Ge-70     3.496E-09
 Ge-72     4.509E-09
 Ge-73     1.280E-09
 Ge-74     6.194E-09
 Ge-76     1.131E-09
 As-75     8.988E-10
 Se-74     6.657E-11
 Se-76     9.653E-10
 Se-77     6.829E-10
 Se-78     2.417E-09
 Se-80     4.292E-09
 Se-82     7.516E-10
 Br-79     8.225E-10
 Br-81     8.718E-10
 Kr-78     2.191E-11
 Kr-80     2.477E-10
 Kr-82     1.045E-09
 Kr-83     8.398E-10
 Kr-84     4.333E-09
 Kr-86     1.474E-09
 Rb-85     8.580E-10
 Rb-87     4.140E-10
 Sr-84     1.780E-11
 Sr-86     5.265E-10
 Sr-87     3.507E-10
 Sr-88     3.419E-09
 Y-89      8.151E-10
 Zr-90     9.463E-10
 Zr-91     2.119E-10
 Zr-92     3.319E-10
 Zr-94     3.324E-10
 Zr-96     1.104E-10
 Nb-93     1.167E-10
 Mo-92     5.731E-11
 Mo-94     4.039E-11
 Mo-95     7.148E-11
 Mo-96     7.218E-11
 Mo-97     4.202E-11
 Mo-98     1.081E-10
 Mo-100    4.187E-11
 Ru-96     1.641E-11
 Ru-98     5.790E-12
 Ru-99     4.014E-11
 Ru-100    4.375E-11
 Ru-101    5.245E-11
 Ru-102    1.078E-10
 Ru-104    6.089E-11
 Rh-103    5.938E-11
 Pd-102    2.339E-12
 Pd-104    3.205E-11
 Pd-105    5.331E-11
 Pd-106    7.292E-11
 Pd-108    7.018E-11
 Pd-110    3.063E-11
 Ag-107    4.451E-11
 Ag-109    4.265E-11
 Cd-106    3.521E-12
 Cd-108    4.641E-12
 Cd-110    4.163E-11
 Cd-111    3.926E-11
 Cd-112    7.844E-11
 Cd-113    3.835E-11
 Cd-114    9.561E-11
 Cd-116    2.641E-11
 In-113    1.482E-12
 In-115    3.426E-11
 Sn-112    6.832E-12
 Sn-114    4.914E-12
 Sn-115    2.520E-12
 Sn-116    1.135E-10
 Sn-117    5.932E-11
 Sn-118    1.926E-10
 Sn-119    6.828E-11
 Sn-120    2.639E-10
 Sn-122    4.547E-11
 Sn-124    4.895E-11
 Sb-121    3.692E-11
 Sb-123    2.764E-11
 Te-120    8.893E-13
 Te-122    2.769E-11
 Te-123    9.672E-12
 Te-124    5.243E-11
 Te-125    7.125E-11
 Te-126    2.004E-10
 Te-128    3.300E-10
 Te-130    3.565E-10
 I-127     8.142E-11
 Xe-124    1.195E-12
 Xe-126    1.075E-12
 Xe-128    2.795E-11
 Xe-129    2.691E-10
 Xe-130    6.208E-11
 Xe-131    2.206E-10
 Xe-132    2.890E-10
 Xe-134    1.088E-10
 Xe-136    9.068E-11
 Cs-133    8.094E-11
 Ba-130    9.805E-13
 Ba-132    9.710E-13
 Ba-134    2.997E-11
 Ba-135    6.728E-11
 Ba-136    8.703E-11
 Ba-137    1.303E-10
 Ba-138    7.770E-10
 La-138    8.041E-14
 La-139    1.057E-10
 Ce-136    4.621E-13
 Ce-138    6.496E-13
