H Table: (M=1.65,Z=0.006)
H Lifetime: 1.644E+09
H Mfinal: 6.140E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &7.341E-01 &7.380E-01 &1 &1  
&H-2      &4.272E-06 &1.432E-05 &1 &2  
&He-3     &3.499E-04 &4.248E-05 &2 &3  
&He-4     &2.848E-01 &2.559E-01 &2 &4  
&Li-7     &3.018E-11 &4.567E-12 &3 &7  
&B-11     &1.777E-10 &1.715E-10 &5 &11 
&C-12     &7.696E-03 &7.502E-04 &6 &12 
&C-13     &1.897E-05 &2.496E-06 &6 &13 
&N-14     &4.066E-04 &6.359E-05 &7 &14 
&N-15     &1.317E-07 &2.505E-07 &7 &15 
&O-16     &7.642E-03 &4.445E-03 &8 &16 
&O-17     &8.270E-06 &2.290E-07 &8 &17 
&O-18     &9.766E-07 &1.304E-06 &8 &18 
&F-19     &4.508E-07 &3.370E-08 &9 &19 
&Ne-20    &3.669E-04 &3.452E-04 &10&20 
&Ne-21    &3.763E-07 &2.748E-07 &10&21 
&Ne-22    &2.009E-04 &8.829E-06 &10&22 
&Na-23    &4.177E-06 &2.402E-06 &11&23 
&Mg-24    &9.513E-05 &9.070E-05 &12&24 
&Mg-25    &8.870E-06 &4.644E-06 &12&25 
&Mg-26    &1.505E-05 &5.314E-06 &12&26 
&Al-27    &4.163E-06 &3.892E-06 &13&27 
&Si-28    &9.394E-05 &9.075E-05 &14&28 
&Si-29    &2.507E-06 &2.354E-06 &14&29 
&Si-30    &1.914E-06 &1.605E-06 &14&30 
&P-31     &4.867E-07 &4.268E-07 &15&31 
&Pb-206   &3.676E-10 &1.680E-10 &82&206
&Pb-207   &4.414E-10 &1.855E-10 &82&207
&S-32     &6.768E-05 &6.558E-05 &16&32 
&S-33     &2.205E-07 &1.961E-07 &16&33 
&S-34     &1.213E-06 &1.135E-06 &16&34 
&S-36     &8.631E-09 &4.848E-09 &16&36 
&Cl-35    &4.212E-07 &4.096E-07 &17&35 
&Cl-37    &1.951E-07 &1.385E-07 &17&37 
&Ar-36    &1.010E-05 &9.828E-06 &18&36 
&Ar-38    &1.010E-06 &9.453E-07 &18&38 
&Ar-40    &3.198E-09 &1.592E-09 &18&40 
&K-39     &2.472E-07 &2.342E-07 &19&39 
&K-40     &9.192E-10 &3.006E-11 &19&40 
&K-41     &2.247E-08 &1.777E-08 &19&41 
&Ca-40    &7.448E-06 &7.234E-06 &20&40 
&Ca-42    &3.641E-08 &3.041E-08 &20&42 
&Ca-43    &7.935E-09 &6.496E-09 &20&43 
&Ca-44    &1.095E-07 &1.027E-07 &20&44 
