H Table: (M=4.0,Z=0.006)
#H Lifetime: 1.727E+08
#H Mfinal: 8.611E-01
 Isotopes  Yields     
 H-1       2.143E+00  
 H-2       4.593E-09  
 He-3      2.834E-04  
 He-4      9.658E-01  
 Li-7      9.499E-11  
 B-11      5.383E-10  
 C-12      9.032E-03  
 C-13      6.824E-05  
 N-14      2.854E-03  
 N-15      3.497E-07  
 O-16      1.500E-02  
 O-17      1.832E-05  
 O-18      2.626E-06  
 F-19      1.513E-07  
 Ne-20     1.147E-03  
 Ne-21     5.212E-06  
 Ne-22     1.117E-04  
 Na-23     1.380E-05  
 Mg-24     2.855E-04  
 Mg-25     3.828E-05  
 Mg-26     1.051E-04  
 Al-27     1.527E-05  
 Si-28     2.874E-04  
 Si-29     7.871E-06  
 Si-30     6.192E-06  
 P-31      1.756E-06  
 Pb-206    1.612E-09  
 Pb-207    1.839E-09  
 S-32      2.052E-04  
 S-33      6.291E-07  
 S-34      3.668E-06  
 S-36      2.901E-08  
 Cl-35     1.282E-06  
 Cl-37     4.881E-07  
 Ar-36     3.071E-05  
 Ar-38     3.016E-06  
 Ar-40     1.850E-08  
 K-39      7.463E-07  
 K-40      7.288E-10  
 K-41      5.949E-08  
 Ca-40     2.262E-05  
 Ca-42     1.010E-07  
 Ca-43     2.208E-08  
 Ca-44     3.288E-07  
 Ca-46     3.898E-09  
 Ca-48     3.153E-08  
 Sc-45     1.241E-08  
 Ti-46     6.185E-08  
 Ti-47     5.667E-08  
 Ti-48     1.008E-06  
 Ti-49     4.477E-08  
 Ti-50     5.115E-08  
 V-50      1.903E-10  
 V-51      7.833E-08  
 Cr-50     1.549E-07  
 Cr-52     3.113E-06  
 Cr-53     3.600E-07  
 Cr-54     9.931E-08  
 Mn-55     2.061E-06  
 Fe-54     1.522E-05  
 Fe-56     2.479E-04  
 Fe-57     5.896E-06  
 Fe-58     1.068E-06  
 Co-59     8.557E-07  
 Ni-58     1.070E-05  
 Ni-60     4.457E-06  
 Ni-61     2.280E-07  
 Ni-62     7.137E-07  
 Ni-64     3.506E-07  
 Cu-63     2.022E-07  
 Cu-65     1.063E-07  
 Zn-64     2.133E-07  
 Zn-66     1.665E-07  
 Zn-67     2.813E-08  
 Zn-68     1.560E-07  
 Zn-70     3.501E-09  
 Ga-69     1.840E-08  
 Ga-71     1.232E-08  
 Ge-70     2.480E-08  
