H Table: (M=25.0,Z=0.01)
#H Lifetime: 7.854E+06
#H Mfinal: 6.050E+00
 Isotopes  Yields     X0         Z  A  
 H-1       9.403E+00  7.290E-01  1  1  
 H-2       3.668E-05  1.414E-05  1  2  
 He-3      3.614E-04  4.331E-05  2  3  
 He-4      8.055E+00  2.609E-01  2  4  
 Li-7      1.581E-10  3.803E-11  3  7  
 B-11      2.228E-08  1.428E-09  5  11 
 C-12      2.307E-01  1.712E-03  6  12 
 C-13      5.476E-04  2.078E-05  6  13 
 N-14      5.163E-02  5.294E-04  7  14 
 N-15      1.420E-04  2.085E-06  7  15 
 O-16      8.716E-01  4.812E-03  8  16 
 O-17      3.083E-05  1.907E-06  8  17 
 O-18      1.203E-04  1.086E-05  8  18 
 F-19      3.672E-06  2.805E-07  9  19 
 Ne-20     1.790E-01  9.089E-04  10 20 
 Ne-21     3.196E-04  2.288E-06  10 21 
 Ne-22     8.040E-03  7.351E-05  10 22 
 Na-23     5.326E-03  2.000E-05  11 23 
 Mg-24     3.035E-02  2.931E-04  12 24 
 Mg-25     5.797E-03  3.867E-05  12 25 
 Mg-26     1.078E-02  4.424E-05  12 26 
 Al-27     2.399E-03  3.241E-05  13 27 
 Si-28     2.933E-02  3.726E-04  14 28 
 Si-29     5.908E-03  1.960E-05  14 29 
 Si-30     4.683E-03  1.336E-05  14 30 
 P-31      1.865E-03  3.553E-06  15 31 
 Pb-206    3.389E-08  1.399E-09  82 206
 Pb-207    3.099E-08  1.545E-09  82 207
 S-32      2.385E-02  2.005E-04  16 32 
 S-33      3.652E-04  1.632E-06  16 33 
 S-34      2.886E-03  9.452E-06  16 34 
 S-36      5.827E-05  4.036E-08  16 36 
 Cl-35     2.055E-03  3.411E-06  17 35 
 Cl-37     1.020E-04  1.153E-06  17 37 
 Ar-36     5.131E-03  4.101E-05  18 36 
 Ar-38     1.045E-03  7.871E-06  18 38 
 Ar-40     1.770E-05  1.325E-08  18 40 
 K-39      1.206E-03  1.950E-06  19 39 
 K-40      5.020E-06  2.503E-10  19 40 
 K-41      1.860E-05  1.479E-07  19 41 
 Ca-40     7.893E-04  3.613E-05  20 40 
 Ca-42     7.168E-05  2.532E-07  20 42 
 Ca-43     3.647E-05  5.408E-08  20 43 
 Ca-44     2.823E-05  8.551E-07  20 44 
 Ca-46     3.466E-06  1.714E-09  20 46 
 Ca-48     2.756E-06  8.362E-08  20 48 
 Sc-45     6.117E-06  2.707E-08  21 45 
 Ti-46     4.365E-06  1.616E-07  22 46 
 Ti-47     6.330E-06  1.488E-07  22 47 
 Ti-48     2.585E-05  1.507E-06  22 48 
 Ti-49     3.474E-06  1.129E-07  22 49 
 Ti-50     5.169E-06  1.104E-07  22 50 
 V-50      5.598E-08  5.077E-10  23 50 
 V-51      4.675E-06  2.069E-07  23 51 
 Cr-50     6.723E-06  4.133E-07  24 50 
 Cr-52     1.382E-04  8.288E-06  24 52 
 Cr-53     1.709E-05  9.578E-07  24 53 
 Cr-54     1.052E-05  2.429E-07  24 54 
 Mn-55     9.540E-05  5.491E-06  25 55 
 Fe-54     6.567E-04  4.059E-05  26 54 
 Fe-56     1.085E-02  6.608E-04  26 56 
 Fe-57     3.271E-04  1.553E-05  26 57 
 Fe-58     2.444E-04  2.103E-06  26 58 
 Co-59     1.600E-04  1.996E-06  27 59 
 Ni-58     4.614E-04  2.855E-05  28 58 
 Ni-60     5.770E-04  1.138E-05  28 60 
 Ni-61     1.866E-04  5.029E-07  28 61 
 Ni-62     4.688E-04  1.630E-06  28 62 
 Ni-64     2.539E-04  4.284E-07  28 64 
 Cu-63     1.715E-04  3.300E-07  29 63 
 Cu-65     7.860E-05  1.517E-07  29 65 
 Zn-64     1.857E-05  5.654E-07  30 64 
 Zn-66     1.010E-04  3.345E-07  30 66 
 Zn-67     3.745E-05  4.990E-08  30 67 
 Zn-68     5.153E-05  2.316E-07  30 68 
