H Table: (M=5.0,Z=0.01)
#H Lifetime: 1.082E+08
#H Mfinal: 9.101E-01
 Isotopes  Yields     X0         Z  A  
 H-1       2.647E+00  7.290E-01  1  1  
 H-2       2.171E-08  1.414E-05  1  2  
 He-3      7.448E-05  4.331E-05  2  3  
 He-4      1.385E+00  2.609E-01  2  4  
 Li-7      9.638E-08  7.774E-10  3  7  
 B-11      5.840E-09  1.428E-09  5  11 
 C-12      7.990E-03  1.712E-03  6  12 
 C-13      1.319E-03  2.078E-05  6  13 
 N-14      1.559E-02  5.294E-04  7  14 
 N-15      4.975E-07  2.085E-06  7  15 
 O-16      1.994E-02  4.812E-03  8  16 
 O-17      3.173E-05  1.907E-06  8  17 
 O-18      2.426E-06  1.086E-05  8  18 
 F-19      9.319E-07  2.805E-07  9  19 
 Ne-20     3.812E-03  9.089E-04  10 20 
 Ne-21     1.209E-05  2.288E-06  10 21 
 Ne-22     3.905E-04  7.351E-05  10 22 
 Na-23     1.477E-04  2.000E-05  11 23 
 Mg-24     1.199E-03  2.931E-04  12 24 
 Mg-25     2.103E-04  3.867E-05  12 25 
 Mg-26     3.746E-04  4.424E-05  12 26 
 Al-27     1.432E-04  3.241E-05  13 27 
 Si-28     1.532E-03  3.726E-04  14 28 
 Si-29     8.165E-05  1.960E-05  14 29 
 Si-30     5.803E-05  1.336E-05  14 30 
 P-31      1.537E-05  3.553E-06  15 31 
 Pb-206    7.040E-09  1.399E-09  82 206
 Pb-207    8.007E-09  1.545E-09  82 207
 S-32      8.181E-04  2.005E-04  16 32 
 S-33      6.727E-06  1.632E-06  16 33 
 S-34      3.908E-05  9.452E-06  16 34 
 S-36      2.404E-07  4.036E-08  16 36 
 Cl-35     1.390E-05  3.411E-06  17 35 
 Cl-37     5.064E-06  1.153E-06  17 37 
 Ar-36     1.670E-04  4.101E-05  18 36 
 Ar-38     3.246E-05  7.871E-06  18 38 
 Ar-40     1.048E-07  1.325E-08  18 40 
 K-39      8.028E-06  1.950E-06  19 39 
 K-40      9.461E-09  2.503E-10  19 40 
 K-41      6.466E-07  1.479E-07  19 41 
 Ca-40     1.472E-04  3.613E-05  20 40 
 Ca-42     1.073E-06  2.532E-07  20 42 
 Ca-43     2.321E-07  5.408E-08  20 43 
 Ca-44     3.525E-06  8.551E-07  20 44 
 Ca-46     1.885E-08  1.714E-09  20 46 
 Ca-48     3.418E-07  8.362E-08  20 48 
 Sc-45     1.229E-07  2.707E-08  21 45 
 Ti-46     6.639E-07  1.616E-07  22 46 
 Ti-47     6.086E-07  1.488E-07  22 47 
 Ti-48     6.133E-06  1.507E-06  22 48 
 Ti-49     4.787E-07  1.129E-07  22 49 
 Ti-50     4.953E-07  1.104E-07  22 50 
 V-50      2.061E-09  5.077E-10  23 50 
 V-51      8.464E-07  2.069E-07  23 51 
 Cr-50     1.677E-06  4.133E-07  24 50 
 Cr-52     3.377E-05  8.288E-06  24 52 
 Cr-53     3.901E-06  9.578E-07  24 53 
 Cr-54     1.087E-06  2.429E-07  24 54 
 Mn-55     2.249E-05  5.491E-06  25 55 
 Fe-54     1.649E-04  4.059E-05  26 54 
 Fe-56     2.691E-03  6.608E-04  26 56 
 Fe-57     6.484E-05  1.553E-05  26 57 
 Fe-58     1.284E-05  2.103E-06  26 58 
 Co-59     9.608E-06  1.996E-06  27 59 
 Ni-58     1.160E-04  2.855E-05  28 58 
 Ni-60     4.813E-05  1.138E-05  28 60 
 Ni-61     2.537E-06  5.029E-07  28 61 
 Ni-62     7.811E-06  1.630E-06  28 62 
 Ni-64     3.243E-06  4.284E-07  28 64 
 Cu-63     2.161E-06  3.300E-07  29 63 
 Cu-65     1.008E-06  1.517E-07  29 65 
 Zn-64     2.330E-06  5.654E-07  30 64 
 Zn-66     1.694E-06  3.345E-07  30 66 
 Zn-67     2.791E-07  4.990E-08  30 67 
 Zn-68     1.424E-06  2.316E-07  30 68 
 Zn-70     3.493E-08  7.884E-09  30 70 
 Ga-69     1.594E-07  2.275E-08  31 69 
 Ga-71     1.034E-07  1.554E-08  31 71 
 Ge-70     2.028E-07  2.579E-08  32 70 
 Ge-72     2.424E-07  3.455E-08  32 72 
 Ge-73     7.029E-08  9.773E-09  32 73 
 Ge-74     3.626E-07  4.614E-08  32 74 
 Ge-76     4.395E-08  9.815E-09  32 76 
 As-75     4.694E-08  7.150E-09  33 75 
 Se-74     2.423E-09  5.989E-10  34 74 
 Se-76     6.559E-08  6.481E-09  34 76 
 Se-77     3.714E-08  5.352E-09  34 77 
 Se-78     1.658E-07  1.688E-08  34 78 
 Se-80     2.593E-07  3.613E-08  34 80 
 Se-82     2.777E-08  6.518E-09  34 82 
 Br-79     4.877E-08  6.947E-09  35 79 
 Br-81     4.885E-08  6.930E-09  35 81 
 Kr-78     7.903E-10  1.950E-10  36 78 
 Kr-80     7.072E-09  1.287E-09  36 80 
 Kr-82     7.371E-08  6.598E-09  36 82 
 Kr-83     4.377E-08  6.621E-09  36 83 
 Kr-84     2.440E-07  3.301E-08  36 84 
 Kr-86     1.835E-07  1.022E-08  36 86 
 Rb-85     6.589E-08  6.412E-09  37 85 
 Rb-87     8.072E-08  2.531E-09  37 87 
 Sr-84     6.522E-10  1.614E-10  38 84 
 Sr-86     2.926E-08  2.922E-09  38 86 
 Sr-87     1.665E-08  2.222E-09  38 87 
 Sr-88     2.520E-07  2.505E-08  38 88 
 Y-89      6.331E-08  6.147E-09  39 89 
 Zr-90     5.416E-08  7.672E-09  40 90 
 Zr-91     1.431E-08  1.692E-09  40 91 
 Zr-92     2.526E-08  2.613E-09  40 92 
 Zr-94     2.140E-08  2.707E-09  40 94 
 Zr-96     1.534E-08  4.452E-10  40 96 
 Nb-93     8.134E-09  9.500E-10  41 93 
 Mo-92     2.054E-09  5.062E-10  42 92 
 Mo-94     1.328E-09  3.224E-10  42 94 
 Mo-95     4.331E-09  5.609E-10  42 95 
 Mo-96     4.749E-09  5.938E-10  42 96 
 Mo-97     2.379E-09  3.438E-10  42 97 
 Mo-98     6.120E-09  8.772E-10  42 98 
 Mo-100    1.730E-09  3.573E-10  42 100
 Ru-96     5.927E-10  1.463E-10  44 96 
 Ru-98     2.044E-10  5.035E-11  44 98 
 Ru-99     1.753E-09  3.473E-10  44 99 
 Ru-100    2.401E-09  3.464E-10  44 100
 Ru-101    2.141E-09  4.738E-10  44 101
 Ru-102    4.925E-09  8.849E-10  44 102
 Ru-104    2.344E-09  5.325E-10  44 104
 Rh-103    2.364E-09  5.273E-10  45 103
 Pd-102    8.569E-11  2.121E-11  46 102
 Pd-104    1.571E-09  2.361E-10  46 104
 Pd-105    2.100E-09  4.779E-10  46 105
 Pd-106    3.169E-09  5.905E-10  46 106
 Pd-108    3.256E-09  5.825E-10  46 108
 Pd-110    1.244E-09  2.628E-10  46 110
 Ag-107    1.732E-09  3.920E-10  47 107
 Ag-109    1.767E-09  3.710E-10  47 109
 Cd-106    1.284E-10  3.173E-11  48 106
 Cd-108    1.061E-10  2.302E-11  48 108
 Cd-110    2.005E-09  3.290E-10  48 110
 Cd-111    1.624E-09  3.402E-10  48 111
 Cd-112    3.566E-09  6.472E-10  48 112
 Cd-113    1.606E-09  3.307E-10  48 113
 Cd-114    4.491E-09  7.843E-10  48 114
 Cd-116    1.372E-09  2.081E-10  48 116
 In-113    5.288E-11  1.302E-11  49 113
 In-115    1.465E-09  2.957E-10  49 115
 Sn-112    2.473E-10  6.105E-11  50 112
 Sn-114    1.718E-10  4.217E-11  50 114
 Sn-115    8.897E-11  2.189E-11  50 115
 Sn-116    5.176E-09  9.466E-10  50 116
 Sn-117    2.564E-09  5.042E-10  50 117
 Sn-118    8.854E-09  1.605E-09  50 118
 Sn-119    3.007E-09  5.735E-10  50 119
 Sn-120    1.206E-08  2.196E-09  50 120
 Sn-122    2.679E-09  3.170E-10  50 122
 Sn-124    1.779E-09  4.030E-10  50 124
 Sb-121    1.543E-09  3.159E-10  51 121
 Sb-123    1.120E-09  2.401E-10  51 123
 Te-120    3.285E-11  8.142E-12  52 120
 Te-122    1.265E-09  2.244E-10  52 122
 Te-123    4.360E-10  7.893E-11  52 123
 Te-124    2.511E-09  4.220E-10  52 124
 Te-125    2.809E-09  6.307E-10  52 125
 Te-126    8.112E-09  1.688E-09  52 126
 Te-128    1.194E-08  2.866E-09  52 128
 Te-130    1.267E-08  3.105E-09  52 130
 I-127     3.110E-09  7.296E-10  53 127
 Xe-124    4.448E-11  1.105E-11  54 124
 Xe-126    3.939E-11  9.746E-12  54 126
 Xe-128    1.169E-09  1.971E-10  54 128
 Xe-129    1.004E-08  2.446E-09  54 129
 Xe-130    2.358E-09  3.933E-10  54 130
 Xe-131    8.234E-09  1.972E-09  54 131
 Xe-132    1.097E-08  2.403E-09  54 132
 Xe-134    4.376E-09  8.940E-10  54 134
 Xe-136    3.119E-09  7.392E-10  54 136
 Cs-133    3.060E-09  7.130E-10  55 133
 Ba-130    3.652E-11  9.072E-12  56 130
 Ba-132    3.560E-11  8.811E-12  56 132
 Ba-134    1.191E-09  2.136E-10  56 134
 Ba-135    2.703E-09  5.870E-10  56 135
 Ba-136    3.720E-09  7.044E-10  56 136
 Ba-137    5.739E-09  1.015E-09  56 137
 Ba-138    3.271E-08  6.526E-09  56 138
 La-138    3.088E-12  8.020E-13  57 138
 La-139    4.340E-09  8.951E-10  57 139
 Ce-136    1.693E-11  4.191E-12  58 136
 Ce-138    2.335E-11  5.739E-12  58 138
