H Table: (M=2.0, Z=0.02)

Isotopes	Yields	 
H-1		7.0906746E-01	
H-2		4.1565646E-06	
He-3		2.8652648E-04	
He-4		3.0742605E-01	
Be-7		8.4690101E-11	
B-8   		8.3878531E-28	
Li-7		2.5226033E-11	
C-11		3.4138893E-27	
B-11		2.9945819E-09	
C-12		9.8204025E-03	
C-13		1.0210035E-04	
N-13		3.2540298E-21	
N-14		2.6818863E-03	
C-14		1.1040499E-08	
N-15		2.2064080E-06	
O-16		1.2467449E-02	
O-17		4.0107178E-05	
O-18		1.6720258E-05	
F-17		6.4066606E-77	
F-18		3.9109669E-58	
F-19		1.1944292E-06	
Ne-20		1.9086887E-03	
Ne-21 		5.0169866E-06	
Ne-22		6.2918579E-04	
Na-22		6.1498905E-17	
Na-23		5.5198935E-05	
Mg-23		1.0148024E-99	
Mg-24		6.1862924E-04	
Mg-25		9.6901824E-05	
Mg-26		1.2386529E-04	
Al-26		1.2309882E-07	
Al-27		6.8899579E-05	
Si-27		1.0148024E-99	
Si-28		7.8118682E-04	
Si-29		4.1394029E-05	
Si-30		2.9026998E-05	
P-31		7.5843782E-06	
S-31		1.0148024E-99	
Be-8		1.0148024E-99	
O-14		1.0148024E-99	
O-15		5.3824482E-25	
Na-21		1.0148024E-99	
Al-25		1.0148024E-99	
P-29		1.0148024E-99	
P-30		1.0148024E-99	
Pb-206		4.0496320E-09	
Pb-207		3.9911990E-09	
Bi-211		1.0148024E-99	
Po-210		1.0148024E-99	
F-20		1.0148024E-99	
Ne-19		1.0148024E-99	
Na-24		1.0148024E-99	
Mg-27		1.0148024E-99	
Mg-28		1.0148024E-99	
Al-28		1.0148024E-99	
Al-29		1.0148024E-99	
Si-31		1.0148024E-99	
Si-32		3.9460493E-12	
P-32		8.9594569E-16	
P-33		1.0148024E-99	
P-34		1.0148024E-99	
P-35		1.0148024E-99	
S-32		4.1960447E-04	
S-33		3.5156845E-06	
S-34		2.0086362E-05	
S-35		1.0148024E-99	
S-36		1.1663732E-07	
S-37		1.0148024E-99	
S-38		1.0148024E-99	
Cl-34		1.0148024E-99	
Cl-35		7.1145832E-06	
Cl-36		7.6160706E-09	
Cl-37		2.6352978E-06	
Cl-38		1.0148024E-99	
Cl-39		1.0148024E-99	
Cl-40		1.0148024E-99	
Ar-35		1.0148024E-99	
Ar-36		8.5549751E-05	
Ar-37		4.6389493E-11	
Ar-38		1.6691425E-05	
Ar-39		8.0392900E-09	
Ar-40		3.4793893E-08	
Ar-41		1.0148024E-99	
Ar-42		4.0685790E-16	
Ar-43		1.0148024E-99	
Ar-44		1.0148024E-99	
K-38		1.0148024E-99	
K-39		4.1001637E-06	
K-40		1.0469016E-08	
K-41		3.2281304E-07	
K-42		1.7801712E-20	
K-43		1.0148024E-99	
K-44		1.0148024E-99	
K-45		1.0148024E-99	
K-46		1.0148024E-99	
Ca-39		1.0148024E-99	
Ca-40		7.5474772E-05	
Ca-41		1.5022270E-08	
Ca-42		5.5217949E-07	
Ca-43		1.1810548E-07	
Ca-44		1.7962203E-06	
Ca-45		1.0148024E-99	
Ca-46		4.0554642E-09	
Ca-47		1.0148024E-99	
Ca-48		1.7525571E-07	
Ca-49		1.0148024E-99	
Sc-43		1.0148024E-99	
Sc-44		1.0148024E-99	
Sc-45		6.0460446E-08	
Sc-46		1.0148024E-99	
Sc-47		1.0148024E-99	
Sc-48		1.0148024E-99	
Sc-49		1.0148024E-99	
Sc-50		1.0148024E-99	
Ti-44		1.4090027E-23	
Ti-45		1.0148024E-99	
Ti-46		3.4048874E-07	
Ti-47		3.1014429E-07	
