Ejected yields in solar masses from Battino et al. 2019, MNRAS (models listed in Table 2)

Isotope	 m2z1m2	 m3z1m2	 m2z2m2	 m3z2m2	 m2z3m2	 m3z3m2	 m3z2m2-hCBM	 m3z3m2-hCBM
n-1	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
H-1	7.3343117E-01	9.1909128E-01	7.0906746E-01	1.5183856E+00	4.5274403E-01	9.8368931E-01	1.4822240E+00	1.3738654E+00
H-2	3.7623233E-06	2.9879585E-06	4.1565646E-06	6.3856839E-06	2.5596952E-06	4.0897649E-06	5.8405808E-06	5.9531939E-06
He-3	2.8875768E-04	1.8470300E-04	2.8652648E-04	3.1887329E-04	2.0681825E-04	2.2804791E-04	3.1389478E-04	3.1760368E-04
He-4	2.9899207E-01	3.8539304E-01	3.0742605E-01	6.9864394E-01	1.8804773E-01	4.3743885E-01	6.8289189E-01	6.1527831E-01
Be-7	6.6189667E-11	4.6838774E-11	8.4690101E-11	1.3490100E-10	4.0788472E-11	8.9490389E-11	1.2338433E-10	1.2000330E-10
B-8   	7.7148511E-28	3.2557039E-26	8.3878531E-28	2.6450822E-27	4.1348553E-28	5.0113206E-27	6.1557805E-27	1.1040422E-27
Li-7	1.2081095E-11	1.0024403E-11	2.5226033E-11	3.8790064E-11	1.4575280E-10	2.3813940E-10	3.6390947E-11	3.3991275E-10
C-11	9.0855514E-28	4.0937141E-27	3.4138893E-27	2.8698111E-26	2.7831869E-27	2.9403097E-26	2.4049230E-26	3.7691246E-26
B-11	1.5088035E-09	1.9092749E-09	2.9945819E-09	6.5875881E-09	2.8624140E-09	6.4271702E-09	6.4410467E-09	9.0227799E-09
C-12	9.8989101E-03	1.4174572E-02	9.8204025E-03	3.4035341E-02	6.9449171E-03	2.6977496E-02	3.4354120E-02	4.1251073E-02
C-13	5.1684053E-05	6.4498460E-05	1.0210035E-04	2.2231664E-04	1.0226164E-04	2.2048075E-04	2.1849562E-04	3.0761259E-04
N-13	1.8612703E-21	2.2074208E-18	3.2540298E-21	1.8215970E-19	3.2085981E-21	1.5048908E-19	8.8807286E-19	5.1042129E-21
N-14	1.4684805E-03	2.1811816E-03	2.6818863E-03	7.0151267E-03	2.5480201E-03	6.5446631E-03	6.9006511E-03	9.1378318E-03
C-14	1.3339266E-08	2.8658949E-08	1.1040499E-08	6.5709842E-08	6.7340623E-09	5.4985277E-08	6.7390495E-08	8.8158226E-08
N-15	1.0380335E-06	1.2247322E-06	2.2064080E-06	4.4046608E-06	2.0430345E-06	4.3245287E-06	4.2510894E-06	6.0561291E-06
O-16	8.9336557E-03	1.1308961E-02	1.2467449E-02	3.1633632E-02	1.1214667E-02	2.9002531E-02	3.2226008E-02	4.2580294E-02
O-17	1.7122725E-05	1.3825149E-05	4.0107178E-05	6.2956708E-05	4.8347476E-05	7.7696341E-05	6.2094602E-05	1.0834198E-04
O-18	8.0991850E-06	9.7481596E-06	1.6720258E-05	3.4374702E-05	1.5988284E-05	3.4112710E-05	3.3425136E-05	4.7685668E-05
F-17	5.1765013E-39	7.0991659E-24	6.4066606E-77	2.9995225E-25	6.6732552E-100	3.2000642E-25	2.2901260E-24	1.1531412E-29
F-18	1.3743377E-70	1.0906414E-25	3.9109669E-58	5.5687063E-27	2.5182983E-84	1.4968048E-26	2.7476054E-26	1.0680828E-31
F-19	8.7810282E-07	1.4122196E-06	1.1944292E-06	4.9649986E-06	1.0278808E-06	4.7553162E-06	4.9231191E-06	7.7685027E-06
Ne-20	9.6799177E-04	1.2322290E-03	1.9086887E-03	4.2225594E-03	1.8237840E-03	4.1098090E-03	4.1316592E-03	5.7722992E-03
Ne-21 	2.6511083E-06	3.8931540E-06	5.0169866E-06	1.2744558E-05	4.7699344E-06	1.2103179E-05	1.2463883E-05	1.7114543E-05
Ne-22	4.7453408E-04	7.1720602E-04	6.2918579E-04	2.7187524E-03	5.6279341E-04	2.8797201E-03	2.8233589E-03	4.7149120E-03
Na-22	2.1401957E-18	6.0332330E-16	6.1498905E-17	1.3041738E-15	1.3444447E-17	4.5664746E-16	4.2427790E-16	2.5289696E-16
Na-23	2.9886707E-05	4.2868868E-05	5.5198935E-05	1.4976682E-04	5.3007033E-05	1.5459403E-04	1.4981274E-04	2.2977443E-04
Mg-23	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Mg-24	3.1335642E-04	3.9675271E-04	6.1862924E-04	1.3712457E-03	5.8977258E-04	1.3365066E-03	1.3414183E-03	1.8804753E-03
Mg-25	5.2786067E-05	8.3079227E-05	9.6901824E-05	2.9955618E-04	9.1850512E-05	2.8409600E-04	2.9272209E-04	4.0370569E-04
Mg-26	7.0927624E-05	1.2662062E-04	1.2386529E-04	4.5746367E-04	1.1772959E-04	4.3440169E-04	4.5408515E-04	6.2879567E-04
Al-26	6.4170991E-08	3.8843254E-08	1.2309882E-07	1.8324452E-07	1.0038126E-07	2.1050702E-07	1.7717394E-07	3.1300155E-07
Al-27	3.5013430E-05	4.4777635E-05	6.8899579E-05	1.5420979E-04	6.5546489E-05	1.4940141E-04	1.5057674E-04	2.0981919E-04
Si-27	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Si-28	3.9358318E-04	4.9795945E-04	7.8118682E-04	1.7175335E-03	7.4666726E-04	1.6754030E-03	1.6792322E-03	2.3518161E-03
Si-29	2.0911702E-05	2.6635267E-05	4.1394029E-05	9.2162458E-05	3.9563319E-05	8.9939110E-05	9.0127055E-05	1.2639618E-04
Si-30	1.4889269E-05	1.9446354E-05	2.9026998E-05	6.7840128E-05	2.7730685E-05	6.6199175E-05	6.6507628E-05	9.3471714E-05
P-31	3.8897338E-06	5.0435267E-06	7.5843782E-06	1.7451779E-05	7.2378135E-06	1.6944128E-05	1.7146282E-05	2.3901141E-05
S-31	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Be-8	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
O-14	1.0561106E-99	7.4186586E-35	1.0148024E-99	2.2730642E-99	6.6732552E-100	3.2645980E-40	6.0770769E-38	2.0946096E-99
O-15	3.1477787E-25	1.6237830E-23	5.3824482E-25	1.3372350E-24	5.4853910E-25	2.3980456E-24	3.4489731E-24	7.9022046E-25
Na-21	1.0561106E-99	1.1248709E-29	1.0148024E-99	2.0339140E-31	6.6732552E-100	8.2918698E-31	4.2626877E-30	3.1510341E-83
Al-25	1.0561106E-99	1.2785825E-64	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	4.9120505E-79	2.0946096E-99
P-29	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
P-30	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pb-206	8.6823982E-09	2.1591124E-08	4.0496320E-09	1.9805822E-08	2.9137403E-09	8.6080545E-09	2.4419196E-08	1.2848004E-08
Pb-207	8.6048266E-09	2.5073543E-08	3.9911990E-09	1.7370925E-08	3.1579713E-09	8.6713850E-09	2.1017303E-08	1.2830751E-08
Bi-211	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Po-210	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
F-20	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ne-19	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Na-24	1.0561106E-99	1.7862488E-41	1.0148024E-99	3.9155650E-91	6.6732552E-100	1.2709894E-41	6.9896218E-40	2.0946096E-99
Mg-27	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	1.2826736E-96	2.0946096E-99
Mg-28	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Al-28	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	1.7775796E-96	2.0946096E-99
Al-29	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Si-31	1.0561106E-99	1.6198517E-49	1.0148024E-99	2.2754288E-99	6.6732552E-100	1.7833065E-87	1.0184893E-51	2.0946096E-99
Si-32	2.9808562E-12	2.9040224E-11	3.9460493E-12	1.0255449E-10	2.8602203E-12	5.3593600E-11	8.1018277E-11	5.7236955E-11
P-32	6.7679979E-16	6.5935475E-15	8.9594569E-16	2.3284872E-14	6.4940954E-16	1.2168362E-14	1.8395101E-14	1.2995581E-14
P-33	1.0561106E-99	1.3308127E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.5738842E-99	4.2149277E-88	2.0946096E-99
P-34	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
P-35	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
S-32	2.1117586E-04	2.6671009E-04	4.1960447E-04	9.1946616E-04	4.0109855E-04	8.9695682E-04	8.9881907E-04	1.2585967E-03
S-33	1.7762816E-06	2.2605698E-06	3.5156845E-06	7.9125730E-06	3.3619992E-06	7.7967253E-06	7.7463201E-06	1.1025559E-05
S-34	1.0180208E-05	1.3032568E-05	2.0086362E-05	4.5194069E-05	1.9190901E-05	4.4091764E-05	4.4220368E-05	6.2037217E-05
S-35	1.0561106E-99	4.6212199E-42	1.0148024E-99	5.9672217E-94	6.6732552E-100	1.2025703E-44	1.7725644E-41	2.0946096E-99
S-36	6.7861780E-08	1.0291815E-07	1.1663732E-07	3.7646747E-07	1.1084049E-07	3.7100480E-07	3.7714655E-07	5.4357289E-07
S-37	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
S-38	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cl-34	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cl-35	3.5762543E-06	4.5118837E-06	7.1145832E-06	1.5536235E-05	6.8007919E-06	1.5142025E-05	1.5180872E-05	2.1226620E-05
Cl-36	4.1666102E-09	5.9216351E-09	7.6160706E-09	2.9562328E-08	7.4173633E-09	3.5724604E-08	2.9785080E-08	5.7025251E-08
Cl-37	1.3767456E-06	1.7914992E-06	2.6352978E-06	6.3502330E-06	2.5245584E-06	6.3568903E-06	6.2871751E-06	9.1393136E-06
Cl-38	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	1.2907334E-96	2.0946096E-99
Cl-39	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cl-40	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ar-35	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ar-36	4.2998705E-05	5.4224296E-05	8.5549751E-05	1.8672023E-04	8.1778203E-05	1.8202156E-04	1.8245566E-04	2.5518602E-04
Ar-37	1.1460630E-11	1.1775152E-10	4.6389493E-11	5.9897670E-10	4.8720883E-11	4.9281444E-10	4.9104016E-10	6.4608098E-10
Ar-38	8.4547023E-06	1.0782694E-05	1.6691425E-05	3.7348628E-05	1.5952430E-05	3.6493843E-05	3.6563993E-05	5.1367403E-05
Ar-39	5.3158976E-09	1.9522256E-08	8.0392900E-09	6.8264103E-08	7.0989920E-09	5.7016813E-08	6.3674518E-08	7.9433347E-08
Ar-40	2.0979279E-08	3.5570344E-08	3.4793893E-08	1.2265079E-07	3.2511488E-08	1.1119243E-07	1.2283279E-07	1.5942188E-07
Ar-41	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448510E-99	2.0946096E-99
Ar-42	1.9378979E-16	1.4279861E-14	4.0685790E-16	4.0676319E-14	2.7329287E-16	1.3582488E-14	2.5162531E-14	1.2030297E-14
Ar-43	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ar-44	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
K-38	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
K-39	2.0724955E-06	2.6240251E-06	4.1001637E-06	9.0613592E-06	3.9190317E-06	8.8470559E-06	8.8708002E-06	1.2434171E-05
K-40	6.9791200E-09	1.0924188E-08	1.0469016E-08	4.8708307E-08	1.0053969E-08	5.4470953E-08	5.0333387E-08	8.5741269E-08
K-41	1.6557466E-07	2.1109905E-07	3.2281304E-07	7.3811818E-07	3.0927588E-07	7.3026167E-07	7.2599986E-07	1.0387157E-06
K-42	8.4791025E-21	6.2480282E-19	1.7801712E-20	1.7797567E-18	1.1957690E-20	5.9428987E-19	1.1009645E-18	5.2637512E-19
K-43	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
K-44	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
K-45	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
K-46	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ca-39	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ca-40	3.7954277E-05	4.7899474E-05	7.5474772E-05	1.6505026E-04	7.2147407E-05	1.6095459E-04	1.6130059E-04	2.2573815E-04
Ca-41	8.1516176E-09	1.1455578E-08	1.5022270E-08	5.7942671E-08	1.4661352E-08	7.0417580E-08	5.8339967E-08	1.1227245E-07
Ca-42	2.8367655E-07	3.6400240E-07	5.5217949E-07	1.2725144E-06	5.2812027E-07	1.2532943E-06	1.2507771E-06	1.7792456E-06
Ca-43	6.0974544E-08	7.8795378E-08	1.1810548E-07	2.7511765E-07	1.1291855E-07	2.7003721E-07	2.7053191E-07	3.8308507E-07
Ca-44	9.0860117E-07	1.1520762E-06	1.7962203E-06	3.9742937E-06	1.7166012E-06	3.8747133E-06	3.8900862E-06	5.4442388E-06
Ca-45	1.0561106E-99	8.1101449E-41	1.0148024E-99	1.2362802E-90	6.6732552E-100	5.8552468E-42	9.0900325E-40	2.0946096E-99
Ca-46	2.2664230E-09	3.9755902E-09	4.0554642E-09	1.3498538E-08	3.8124420E-09	1.1723680E-08	1.2972744E-08	1.6057090E-08
Ca-47	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	8.6236984E-95	2.0946096E-99
Ca-48	8.8265755E-08	1.1162819E-07	1.7525571E-07	3.8507686E-07	1.6752439E-07	3.7568994E-07	3.7646857E-07	5.2732070E-07
Ca-49	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sc-43	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sc-44	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sc-45	3.1377368E-08	4.1592073E-08	6.0460446E-08	1.4654995E-07	5.7708670E-08	1.4348576E-07	1.4404089E-07	2.0410143E-07
Sc-46	1.0561106E-99	4.4202558E-40	1.0148024E-99	9.3911687E-89	6.6732552E-100	3.1257651E-41	4.8386009E-39	2.0946096E-99
Sc-47	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.0345121E-96	2.0946096E-99
Sc-48	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sc-49	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sc-50	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ti-44	6.2992801E-24	2.3873926E-23	1.4090027E-23	1.0502028E-22	1.3761449E-23	9.6501381E-23	9.2572453E-23	1.3006156E-22
Ti-45	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ti-46	1.7257352E-07	2.1853877E-07	3.4048874E-07	7.5493166E-07	3.2539195E-07	7.3757283E-07	7.4001444E-07	1.0383858E-06
Ti-47	1.5633391E-07	1.9760234E-07	3.1014429E-07	6.7963652E-07	2.9638348E-07	6.6115306E-07	6.6463302E-07	9.2664918E-07
Ti-48	1.5722919E-06	1.9812472E-06	3.1291967E-06	6.8058664E-06	2.9909388E-06	6.6222002E-06	6.6495076E-06	9.2722698E-06
Ti-49	1.3098950E-07	1.6911408E-07	2.5709799E-07	6.0697116E-07	2.4589360E-07	6.0792227E-07	5.9638113E-07	8.7150497E-07
Ti-50	1.3534678E-07	1.8236200E-07	2.5401158E-07	6.4361544E-07	2.4157522E-07	6.2933715E-07	6.3972221E-07	9.0370933E-07
Ti-51	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ti-52	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
V-47	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
V-48	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
V-49	3.2251092E-19	1.0527168E-18	9.5234636E-19	7.2083901E-18	1.0080207E-18	8.1208724E-18	6.2306876E-18	1.2002789E-17
V-50	5.2770399E-10	6.6427679E-10	1.0508915E-09	2.2777743E-09	1.0044470E-09	2.2136613E-09	2.2248326E-09	3.0962841E-09
V-51	2.1776826E-07	2.7489288E-07	4.3299970E-07	9.4814624E-07	4.1392602E-07	9.2533147E-07	9.2695522E-07	1.2987058E-06
V-52	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
