H Table: (M=6.0,Z=0.02)
 #H Lifetime: 7.422E+07
 #H Mfinal: 9.653E-01
 Isotopes  Yields     X0         Z  A  
 H-1       3.107E+00  7.064E-01  1  1  
 H-2       3.968E-07  1.371E-05  1  2  
 He-3      1.190E-05  4.540E-05  2  3  
 He-4      1.817E+00  2.735E-01  2  4  
 Li-7      3.022E-08  7.774E-10  3  7  
 B-11      1.438E-08  2.856E-09  5  11 
 C-12      1.612E-03  3.425E-03  6  12 
 C-13      3.643E-04  4.156E-05  6  13 
 N-14      4.112E-02  1.059E-03  7  14 
 N-15      1.833E-06  4.171E-06  7  15 
 O-16      3.782E-02  9.624E-03  8  16 
 O-17      1.608E-04  3.813E-06  8  17 
 O-18      2.546E-06  2.171E-05  8  18 
 F-19      1.960E-07  5.611E-07  9  19 
 Ne-20     9.239E-03  1.818E-03  10 20 
 Ne-21     1.435E-06  4.575E-06  10 21 
 Ne-22     7.188E-04  1.470E-04  10 22 
 Na-23     2.723E-04  4.000E-05  11 23 
 Mg-24     2.702E-03  5.862E-04  12 24 
 Mg-25     7.272E-04  7.733E-05  12 25 
 Mg-26     6.854E-04  8.848E-05  12 26 
 Al-27     3.422E-04  6.481E-05  13 27 
 Si-28     3.761E-03  7.453E-04  14 28 
 Si-29     1.991E-04  3.919E-05  14 29 
 Si-30     1.385E-04  2.673E-05  14 30 
 P-31      3.676E-05  7.106E-06  15 31 
 Pb-206    1.457E-08  2.798E-09  82 206
 Pb-207    1.604E-08  3.090E-09  82 207
 S-32      2.017E-03  4.011E-04  16 32 
 S-33      1.649E-05  3.265E-06  16 33 
 S-34      9.567E-05  1.890E-05  16 34 
 S-36      4.964E-07  8.073E-08  16 36 
 Cl-35     3.428E-05  6.821E-06  17 35 
 Cl-37     1.209E-05  2.306E-06  17 37 
 Ar-36     4.120E-04  8.202E-05  18 36 
 Ar-38     7.956E-05  1.574E-05  18 38 
 Ar-40     1.970E-07  2.650E-08  18 40 
 K-39      1.970E-05  3.900E-06  19 39 
 K-40      1.587E-08  5.005E-10  19 40 
 K-41      1.576E-06  2.959E-07  19 41 
 Ca-40     3.631E-04  7.225E-05  20 40 
 Ca-42     2.592E-06  5.063E-07  20 42 
 Ca-43     5.567E-07  1.082E-07  20 43 
 Ca-44     8.643E-06  1.710E-06  20 44 
 Ca-46     3.284E-08  3.428E-09  20 46 
 Ca-48     8.418E-07  1.672E-07  20 48 
 Sc-45     2.878E-07  5.414E-08  21 45 
 Ti-46     1.630E-06  3.232E-07  22 46 
 Ti-47     1.497E-06  2.977E-07  22 47 
 Ti-48     1.513E-05  3.014E-06  22 48 
 Ti-49     1.163E-06  2.257E-07  22 49 
 Ti-50     1.161E-06  2.208E-07  22 50 
 V-50      5.086E-09  1.015E-09  23 50 
 V-51      2.087E-06  4.138E-07  23 51 
 Cr-50     4.139E-06  8.265E-07  24 50 
 Cr-52     8.331E-05  1.658E-05  24 52 
 Cr-53     9.608E-06  1.916E-06  24 53 
 Cr-54     2.578E-06  4.858E-07  24 54 
 Mn-55     5.565E-05  1.098E-05  25 55 
 Fe-54     4.070E-04  8.118E-05  26 54 
 Fe-56     6.639E-03  1.322E-03  26 56 
 Fe-57     1.583E-04  3.107E-05  26 57 
 Fe-58     2.608E-05  4.207E-06  26 58 
 Co-59     2.190E-05  3.991E-06  27 59 
 Ni-58     2.866E-04  5.711E-05  28 58 
 Ni-60     1.166E-04  2.276E-05  28 60 
