H Table: (M=7.0,Z=0.02)
 #H Lifetime: 5.211E+07
 #H Mfinal: 1.066E+00
 Isotopes  Yields     X0         Z  A  
 H-1       3.568E+00  7.064E-01  1  1  
 H-2       1.335E-07  1.371E-05  1  2  
 He-3      1.066E-05  4.540E-05  2  3  
 He-4      2.239E+00  2.735E-01  2  4  
 Li-7      5.017E-08  7.774E-10  3  7  
 B-11      1.695E-08  2.856E-09  5  11 
 C-12      1.975E-03  3.425E-03  6  12 
 C-13      4.870E-04  4.156E-05  6  13 
 N-14      4.746E-02  1.059E-03  7  14 
 N-15      4.344E-06  4.171E-06  7  15 
 O-16      4.183E-02  9.624E-03  8  16 
 O-17      3.109E-04  3.813E-06  8  17 
 O-18      3.475E-06  2.171E-05  8  18 
 F-19      1.784E-07  5.611E-07  9  19 
 Ne-20     1.107E-02  1.818E-03  10 20 
 Ne-21     1.385E-06  4.575E-06  10 21 
 Ne-22     7.873E-04  1.470E-04  10 22 
 Na-23     2.339E-04  4.000E-05  11 23 
 Mg-24     2.094E-03  5.862E-04  12 24 
 Mg-25     2.116E-03  7.733E-05  12 25 
 Mg-26     7.699E-04  8.848E-05  12 26 
 Al-27     4.029E-04  6.481E-05  13 27 
 Si-28     4.438E-03  7.453E-04  14 28 
 Si-29     2.343E-04  3.919E-05  14 29 
 Si-30     1.621E-04  2.673E-05  14 30 
 P-31      4.300E-05  7.106E-06  15 31 
 Pb-206    1.681E-08  2.798E-09  82 206
 Pb-207    1.854E-08  3.090E-09  82 207
 S-32      2.378E-03  4.011E-04  16 32 
 S-33      1.943E-05  3.265E-06  16 33 
 S-34      1.126E-04  1.890E-05  16 34 
 S-36      5.558E-07  8.073E-08  16 36 
 Cl-35     4.041E-05  6.821E-06  17 35 
 Cl-37     1.432E-05  2.306E-06  17 37 
 Ar-36     4.858E-04  8.202E-05  18 36 
 Ar-38     9.367E-05  1.574E-05  18 38 
 Ar-40     2.135E-07  2.650E-08  18 40 
 K-39      2.320E-05  3.900E-06  19 39 
 K-40      2.424E-08  5.005E-10  19 40 
 K-41      1.922E-06  2.959E-07  19 41 
 Ca-40     4.281E-04  7.225E-05  20 40 
 Ca-42     3.044E-06  5.063E-07  20 42 
 Ca-43     6.514E-07  1.082E-07  20 43 
 Ca-44     1.017E-05  1.710E-06  20 44 
 Ca-46     3.469E-08  3.428E-09  20 46 
 Ca-48     9.923E-07  1.672E-07  20 48 
 Sc-45     3.364E-07  5.414E-08  21 45 
 Ti-46     1.919E-06  3.232E-07  22 46 
 Ti-47     1.759E-06  2.977E-07  22 47 
 Ti-48     1.784E-05  3.014E-06  22 48 
 Ti-49     1.380E-06  2.257E-07  22 49 
 Ti-50     1.351E-06  2.208E-07  22 50 
 V-50      5.982E-09  1.015E-09  23 50 
 V-51      2.467E-06  4.138E-07  23 51 
 Cr-50     4.869E-06  8.265E-07  24 50 
 Cr-52     9.824E-05  1.658E-05  24 52 
